# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,2,4,4,2,4,3,2,4,2,2,4,4,6,2,4
17,-6,2,2,4,4,4,2,3,4,2,2,2,4,4,6,4,2
18,-4,2,3,1,2,1,2,2,2,3,2,3,1,2,4,1,3
19,-6,2,4,4,4,4,4,3,2,2,2,2,2,4,6,2,4
20,-28,2,4,6,8,10,12,14,16,18,20,22,24,26,28,13,15
21,-42,3,6,9,12,15,18,21,24,27,30,33,36,39,42,28,14
22,-6,4,2,2,2,2,2,3,4,4,4,4,4,2,6,4,2
23,-6,4,2,4,2,2,2,3,4,4,4,2,4,2,6,4,2
24,-6,4,2,4,4,4,2,3,4,2,2,2,4,2,6,4,2
25,-6,4,2,4,4,4,4,3,2,2,2,2,4,2,6,4,2
26,-6,4,4,2,2,2,2,3,4,4,4,4,2,2,6,4,2
27,-6,4,4,4,4,4,2,3,4,2,2,2,2,2,6,4,2
28,-22,4,8,12,16,3,7,11,15,19,6,10,14,18,22,9,13
29,-22,4,8,12,16,20,7,11,15,2,6,10,14,18,22,9,13
30,-36,5,10,15,20,8,13,18,23,28,16,21,26,31,36,24,12
31,-36,5,10,15,20,25,13,18,23,11,16,21,26,31,36,24,12
32,-36,5,10,15,20,25,30,18,6,11,16,21,26,31,36,24,12
33,-16,6,12,1,7,13,2,8,14,3,9,15,4,10,16,5,11
34,-50,6,12,18,24,30,36,25,14,20,26,32,38,44,50,22,28
35,-30,7,14,4,11,18,8,15,22,12,19,26,16,23,30,20,10
36,-30,7,14,21,11,18,8,15,22,12,19,9,16,23,30,20,10
37,-30,7,14,21,11,18,25,15,5,12,19,9,16,23,30,20,10
38,-44,8,16,24,32,23,31,22,13,21,12,20,28,36,44,18,26
39,-44,8,16,24,32,40,31,22,13,4,12,20,28,36,44,18,26
40,-24,9,18,10,2,11,20,12,4,13,22,14,6,15,24,16,8
