# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-6,1,0,2,1,2,3,3,4,4,5,5,6,6
14,-4,2,3,2,3,1,2,2,2,3,2,1,4,1
15,-12,2,7,4,2,4,6,6,8,8,10,10,12,5
16,-12,2,7,4,9,4,6,6,8,8,10,3,12,5
17,-12,2,7,4,9,11,6,6,8,1,10,3,12,5
18,-10,4,0,8,4,8,5,5,2,2,6,6,10,10
19,-10,4,7,8,4,1,5,5,2,9,6,6,10,3
20,-10,4,7,8,4,8,5,5,2,2,6,6,10,3
21,-16,5,7,10,12,3,8,8,6,13,11,4,16,9
22,-8,6,0,5,6,5,4,4,3,3,2,2,8,8
23,-8,6,7,5,6,5,4,4,3,3,2,2,8,1
24,-20,8,7,16,15,9,10,10,4,11,12,5,20,13
25,-20,8,14,16,15,2,10,10,4,18,12,5,20,6
26,-20,8,14,16,15,9,10,10,4,11,12,5,20,6
27,-12,9,0,4,9,4,6,6,8,8,3,3,12,12
28,-12,9,7,4,2,4,6,6,8,8,3,10,12,5
29,-12,9,7,4,9,4,6,6,8,8,3,3,12,5
30,-18,10,7,6,3,13,9,9,12,5,8,15,18,11
31,-18,10,14,6,3,6,9,9,12,12,8,15,18,4
32,-18,10,14,6,3,13,9,9,12,5,8,15,18,4
33,-18,10,14,6,10,6,9,9,12,12,8,8,18,4
34,-16,12,7,10,5,3,8,8,6,13,4,11,16,9
35,-16,12,7,10,5,10,8,8,6,6,4,11,16,9
36,-16,12,7,10,12,3,8,8,6,13,4,4,16,9
37,-16,12,14,10,5,10,8,8,6,6,4,11,16,2
38,-24,18,7,8,11,15,12,12,16,9,6,13,24,17
39,-24,18,7,8,18,15,12,12,16,9,6,6,24,17
40,-24,18,14,8,4,15,12,12,16,9,6,20,24,10
41,-24,18,14,8,18,15,12,12,16,9,6,6,24,10
42,-24,18,21,8,4,15,12,12,16,9,6,20,24,3
43,-24,18,21,8,11,15,12,12,16,9,6,13,24,3
