Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
6,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
9,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0
10,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
11,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
13,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
14,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0
15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
18,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
19,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0
20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
22,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
23,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
24,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
25,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
26,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0
27,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
28,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
29,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
30,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
31,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1
32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
34,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
35,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
36,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
37,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
38,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
39,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
41,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
42,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
43,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
44,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0
45,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
46,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
47,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
48,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
50,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
51,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
53,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
54,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0
55,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
56,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
57,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
58,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0
59,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0
60,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
61,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
62,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
63,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0
64,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
65,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
66,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
67,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
68,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
69,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
70,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
71,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
72,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
74,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
75,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
77,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
78,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
79,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1
80,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
81,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1
82,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0
83,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
84,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
85,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
86,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
87,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
88,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0
89,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
90,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0
91,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
92,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
93,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
94,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
95,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
97,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
98,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
99,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
101,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
102,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
103,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
104,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0
105,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
106,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0
107,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
108,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
109,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
110,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
111,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
112,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
114,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
115,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
116,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
118,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
119,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
120,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
121,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1
122,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
124,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
125,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
