# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-3,1,2,1,1,1,2,2,2,1,2
11,-11,1,2,3,4,5,6,7,8,9,10
12,-3,2,1,2,2,2,1,1,1,2,1
13,-11,2,4,6,8,10,1,3,5,7,9
14,-11,3,6,9,1,4,7,10,2,5,8
15,-11,4,8,1,5,9,2,6,10,3,7
16,-22,4,8,12,16,9,13,6,10,14,18
17,-11,5,10,4,9,3,8,2,7,1,6
18,-11,6,1,7,2,8,3,9,4,10,5
19,-22,6,12,18,13,8,14,9,4,10,16
20,-11,7,3,10,6,2,9,5,1,8,4
21,-11,8,5,2,10,7,4,1,9,6,3
22,-22,8,16,13,10,18,4,12,9,6,14
23,-11,9,7,5,3,1,10,8,6,4,2
24,-22,9,18,16,14,12,10,8,6,4,13
25,-11,10,9,8,7,6,5,4,3,2,1
26,-22,10,9,8,18,6,16,4,14,13,12
27,-22,12,13,14,4,16,6,18,8,9,10
28,-22,13,4,6,8,10,12,14,16,18,9
29,-22,14,6,9,12,4,18,10,13,16,8
30,-22,16,10,4,9,14,8,13,18,12,6
31,-22,18,14,10,6,13,9,16,12,8,4
