# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,2,2,1,3,1,2,3,1,3,2,2,4,2,1,3,2
17,-6,2,4,2,2,2,3,4,4,4,2,4,6,4,2,4,2
18,-6,2,4,4,2,2,3,4,4,2,2,4,6,4,2,4,2
19,-6,2,4,4,2,4,3,2,4,2,2,4,6,4,2,4,2
20,-24,2,4,6,8,10,12,14,16,18,20,22,24,9,11,13,15
21,-36,3,6,9,12,15,18,21,24,27,30,33,36,22,25,11,14
22,-6,4,2,2,4,4,3,2,2,4,4,2,6,2,4,2,4
23,-6,4,2,4,2,4,3,2,4,2,4,2,6,4,4,2,2
24,-6,4,2,4,4,4,3,2,2,2,4,2,6,2,2,4,4
25,-6,4,4,2,2,4,3,2,4,4,2,2,6,4,4,2,2
26,-6,4,4,4,2,4,3,2,4,2,2,2,6,2,4,2,4
27,-6,4,4,4,2,4,3,2,4,2,2,2,6,4,4,2,2
28,-48,4,8,12,16,20,24,28,32,36,40,44,48,35,22,26,13
29,-26,5,10,15,20,8,13,18,6,11,16,21,26,14,19,7,12
30,-60,5,10,15,20,25,30,35,40,45,50,55,60,48,36,24,12
31,-38,6,12,18,24,13,19,25,14,20,26,32,38,10,16,22,28
32,-38,6,12,18,24,13,19,25,14,20,26,32,38,27,16,22,11
33,-38,6,12,18,24,30,19,8,14,20,26,32,38,10,16,22,28
34,-38,6,12,18,24,30,19,8,14,20,26,32,38,27,16,22,11
35,-16,7,14,4,11,1,8,15,5,12,2,9,16,6,13,3,10
36,-50,7,14,21,28,18,25,32,22,29,36,43,50,40,30,20,10
37,-50,7,14,21,28,35,25,15,22,29,36,43,50,40,30,20,10
38,-28,8,16,7,15,6,14,22,13,21,12,20,28,19,10,18,9
39,-28,8,16,7,15,23,14,5,13,21,12,20,28,19,10,18,9
40,-28,8,16,24,15,6,14,22,13,4,12,20,28,2,10,18,26
