Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
104,0,0,0,1,0,0,0,0,2,0,0,0,0,1
105,0,0,0,0,0,0,6,1,0,0,0,0,0,0
106,1,0,0,1,0,0,0,0,0,0,0,1,0,0
107,0,1,0,0,0,2,0,0,1,0,0,0,0,0
108,0,1,0,0,0,0,1,0,1,0,0,0,0,0
109,0,1,0,0,0,0,0,0,2,0,1,0,0,0
110,0,0,0,0,1,0,0,0,0,1,0,0,2,0
111,2,0,0,0,0,3,0,0,0,0,0,0,0,0
112,0,0,0,1,0,5,0,0,0,0,0,0,0,0
113,0,0,6,0,0,0,0,0,0,0,1,0,0,0
114,1,0,0,0,2,0,0,0,0,0,0,0,0,0
115,0,0,1,0,0,1,0,1,0,0,0,0,0,0
116,0,0,0,0,0,0,0,1,0,2,0,0,1,0
117,0,0,0,0,0,0,0,0,15,0,0,0,0,0
118,0,0,0,0,0,0,0,1,0,0,0,0,0,3
119,0,0,2,1,0,0,0,0,0,0,0,0,1,0
120,0,0,4,0,0,1,0,0,0,0,0,0,0,0
121,2,0,1,0,0,0,0,0,0,1,0,0,0,0
122,0,1,0,0,0,0,5,0,0,0,0,0,0,0
123,1,0,0,0,0,0,0,0,3,0,0,0,0,0
124,0,0,0,0,0,1,7,0,0,0,0,0,0,0
125,0,0,0,0,1,0,0,0,0,0,0,1,0,1
126,1,0,1,0,0,0,0,0,0,0,0,2,0,0
127,0,1,1,0,0,0,0,0,0,0,0,1,0,0
128,0,0,0,0,0,0,0,0,0,0,2,0,0,3
129,0,0,0,1,0,0,0,0,0,1,0,0,1,0
130,0,0,0,0,0,0,0,0,0,0,0,0,15,0
131,2,0,3,0,0,0,0,0,0,0,0,0,0,0
132,2,0,0,0,0,0,0,0,0,0,0,1,0,1
133,0,0,0,0,0,1,1,0,0,0,0,0,0,3
134,0,0,1,0,0,0,0,0,0,1,0,1,1,0
135,0,0,0,0,0,0,0,0,1,0,1,0,1,0
136,0,0,0,0,0,0,1,0,3,0,0,0,0,1
137,0,0,0,1,1,0,0,0,0,0,0,0,0,2
138,0,0,0,0,1,0,0,0,6,0,0,0,0,0
139,0,0,0,0,0,0,0,0,1,0,0,0,4,0
140,0,0,0,0,1,0,1,0,2,0,0,0,0,0
141,0,0,0,1,0,0,0,0,0,0,1,0,2,0
142,0,1,1,0,0,0,0,0,0,2,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,15,0,0
144,0,0,0,1,0,1,0,0,0,0,0,0,0,1
145,0,0,0,0,0,0,0,2,0,0,0,0,3,0
146,0,0,0,0,0,0,0,0,0,3,0,0,3,0
147,0,0,0,0,0,0,0,0,4,0,0,0,1,0
148,0,1,0,0,0,0,1,0,0,0,0,0,0,2
149,0,0,0,0,0,0,0,0,7,0,0,0,0,1
150,0,0,0,0,0,0,4,0,0,1,0,0,0,0
151,0,0,0,0,0,0,1,0,0,4,0,0,0,0
152,0,0,0,0,0,0,0,1,0,6,0,0,0,0
153,0,0,3,0,0,0,0,0,0,0,0,1,1,0
154,0,0,0,0,0,1,3,0,1,0,0,0,0,0
