# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,-1,0,1,0,1,0,1,0,1,1
9,0,1,0,0,0,0,0,0,0,0
10,-4,2,0,4,2,1,4,3,1,3
11,-3,2,1,2,1,2,3,2,1,1
12,-9,2,5,4,7,6,9,3,6,3
13,-9,2,5,4,7,6,9,8,1,3
14,-6,3,0,6,3,4,6,2,4,2
15,-6,3,5,1,3,4,6,2,4,2
16,-8,4,5,3,4,2,8,6,2,6
17,-7,6,5,2,1,3,7,4,3,4
18,-9,7,5,4,2,6,9,3,6,3
19,-11,8,5,6,3,4,11,2,9,7
20,-21,18,15,6,3,14,21,12,9,7
