# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,2,2,1,0,1,2,0,2,1,0,2,1,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-4,2,0,2,0,4,2,4,1,1,4,3,3,1,3
16,-6,2,2,4,4,4,3,6,4,4,2,2,2,4,2
17,-6,3,0,3,0,6,3,6,4,4,6,2,2,4,2
18,-4,3,1,1,2,3,2,4,3,1,2,3,1,2,2
19,-8,3,2,5,4,6,4,8,6,2,4,6,2,4,4
20,-6,3,5,3,5,1,3,6,4,4,1,2,2,4,2
21,-8,3,5,5,7,3,4,8,6,2,1,6,2,4,4
22,-16,3,10,13,5,6,8,16,9,4,11,12,7,14,2
23,-6,4,4,2,2,2,3,6,4,4,4,2,2,4,2
24,-8,4,5,4,5,3,4,8,2,2,3,6,6,2,6
25,-8,4,5,4,5,3,4,8,2,2,3,6,6,7,1
26,-8,4,5,4,5,3,4,8,7,2,3,6,1,2,6
27,-18,4,10,14,5,8,9,18,12,12,13,6,6,12,6
28,-18,4,10,14,10,8,9,18,12,12,8,6,6,12,6
29,-8,6,2,2,4,6,4,8,6,5,4,3,2,4,4
30,-10,6,4,4,8,6,5,10,6,4,2,6,4,8,2
31,-8,6,5,2,4,3,4,8,3,2,4,6,5,7,1
32,-8,6,5,2,4,3,4,8,6,2,4,6,2,4,4
33,-12,6,5,6,10,7,6,12,8,3,2,9,4,3,9
34,-12,6,5,6,10,7,6,12,8,3,2,9,4,8,4
35,-12,6,5,6,10,7,6,12,8,8,2,4,4,8,4
36,-12,6,10,6,5,2,6,12,8,8,7,4,4,8,4
37,-22,6,10,16,5,12,11,22,18,13,17,9,4,8,14
38,-22,6,10,16,20,12,11,22,18,13,2,9,4,8,14
39,-32,6,20,26,10,12,16,32,18,8,22,24,14,13,19
40,-32,6,20,26,25,12,16,32,18,8,7,24,14,13,19
41,-16,8,5,8,10,11,8,16,4,4,6,12,12,4,12
42,-16,8,5,8,10,11,8,16,4,4,6,12,12,9,7
43,-16,8,10,8,5,6,8,16,4,4,11,12,12,4,12
44,-16,8,10,8,5,6,8,16,4,4,11,12,12,9,7
45,-16,8,10,8,5,6,8,16,9,4,11,12,7,4,12
46,-28,9,10,19,20,18,14,28,12,7,8,21,16,17,11
47,-28,9,10,19,20,18,14,28,12,22,8,6,16,17,11
48,-14,12,5,2,10,9,7,14,6,6,4,8,8,11,3
49,-14,12,5,2,10,9,7,14,6,11,4,3,8,1,13
50,-14,12,10,2,10,4,7,14,6,6,4,8,8,6,8
51,-14,12,10,2,10,4,7,14,6,6,4,8,8,11,3
52,-34,12,10,22,20,24,17,34,6,16,14,18,28,11,23
53,-34,12,10,22,20,24,17,34,6,16,14,18,28,26,8
54,-34,12,10,22,20,24,17,34,21,16,14,18,13,26,8
55,-44,12,20,32,25,24,22,44,36,11,19,33,8,16,28
56,-44,12,20,32,40,24,22,44,36,11,4,33,8,16,28
57,-16,13,10,3,10,6,8,16,9,4,6,12,7,14,2
58,-18,14,5,4,10,13,9,18,12,12,8,6,6,12,6
59,-18,14,10,4,10,8,9,18,12,12,8,6,6,12,6
60,-26,18,5,8,10,21,13,26,9,14,16,12,17,19,7
61,-46,18,10,28,20,36,23,46,24,34,26,12,22,14,32
62,-26,18,20,8,10,6,13,26,9,14,16,12,17,4,22
63,-26,18,20,8,10,6,13,26,9,14,16,12,17,19,7
64,-26,18,20,8,10,6,13,26,24,14,16,12,2,4,22
65,-56,18,20,38,40,36,28,56,24,14,16,42,32,19,37
66,-56,18,20,38,40,36,28,56,24,44,16,12,32,19,37
67,-56,18,20,38,40,36,28,56,39,14,16,42,17,34,22
68,-32,21,20,11,10,12,16,32,18,8,22,24,14,13,19
69,-32,21,20,11,10,12,16,32,18,8,22,24,14,28,4
70,-32,21,20,11,25,12,16,32,18,8,7,24,14,13,19
71,-32,21,20,11,25,12,16,32,18,8,7,24,14,28,4
72,-28,24,10,4,20,18,14,28,12,7,8,21,16,17,11
73,-28,24,10,4,20,18,14,28,12,22,8,6,16,17,11
74,-38,24,20,14,10,18,19,38,12,32,28,6,26,22,16
75,-34,27,10,7,20,24,17,34,21,16,14,18,13,26,8
76,-34,27,25,7,20,9,17,34,21,16,14,18,13,26,8
77,-52,36,40,16,20,12,26,52,33,28,32,24,19,38,14
78,-64,42,40,22,20,24,32,64,21,16,44,48,43,26,38
79,-64,42,40,22,20,24,32,64,21,16,44,48,43,41,23
80,-56,48,35,8,40,21,28,56,24,14,16,42,32,34,22
81,-56,48,35,8,40,21,28,56,24,14,16,42,32,49,7
