# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,-1,0,1,0,1,0,1,0,1,1
9,0,1,0,0,0,0,0,0,0,0
10,-6,2,0,4,2,6,4,3,6,3
11,-3,2,1,2,1,2,1,2,3,1
12,-6,2,5,4,2,1,4,3,6,3
13,-11,2,5,4,7,6,9,8,11,3
14,-4,3,0,1,3,4,1,2,4,2
15,-9,3,5,6,3,4,6,2,9,7
16,-9,3,5,6,3,4,6,7,9,2
17,-7,4,5,3,4,2,3,6,7,1
18,-8,6,5,2,6,3,2,4,8,4
19,-9,8,5,6,3,4,1,2,9,7
20,-21,12,15,14,7,6,9,18,21,3
