Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6
0,0,0,0,0,0,1,2
1,0,0,0,0,0,3,0
2,0,0,0,0,1,0,1
3,0,0,0,2,0,1,0
4,0,0,0,3,1,0,0
5,0,0,1,0,0,1,0
6,0,0,1,1,1,0,0
7,0,1,0,0,0,0,3
8,0,1,0,0,1,1,0
9,0,1,0,1,0,0,0
10,0,1,1,0,0,0,1
11,1,0,0,0,0,0,0
