# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,2,2,1,0,1,2,0,2,1,0,2,1,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-6,1,5,6,5,2,1,2,3,3,2,4,4,3,4
16,-6,2,4,6,2,2,4,2,4,2,2,4,4,3,4
17,-12,2,10,12,5,4,7,4,6,6,4,8,8,6,8
18,-4,3,1,4,2,3,2,1,3,1,2,3,1,2,2
19,-8,3,5,8,4,6,4,2,6,2,4,6,2,4,4
20,-8,3,5,8,4,6,4,5,6,2,1,3,2,4,7
21,-8,3,5,8,5,6,3,1,4,4,6,7,2,4,2
22,-8,3,5,8,5,6,3,6,4,4,1,2,2,4,7
23,-8,3,5,8,5,6,3,6,4,4,6,2,2,4,2
24,-8,3,5,8,7,6,1,2,3,5,4,6,2,4,4
25,-4,4,0,4,0,3,4,3,2,2,3,1,1,2,1
26,-6,4,2,6,4,2,2,2,2,4,2,4,4,3,4
27,-14,4,10,14,10,8,4,8,12,2,3,6,6,7,11
28,-14,4,10,14,10,8,4,8,12,2,8,6,6,7,6
29,-6,6,0,6,0,2,6,2,3,3,2,4,4,3,4
30,-8,6,2,8,4,3,4,2,6,2,4,6,5,4,4
31,-8,6,2,8,4,6,4,2,3,5,4,6,2,4,4
32,-10,6,4,10,8,6,2,4,6,4,2,6,4,5,8
33,-16,6,10,16,5,12,11,7,3,13,2,9,4,8,14
34,-16,6,10,16,5,12,11,7,8,8,12,9,4,8,4
35,-16,6,10,16,5,12,11,12,8,8,7,4,4,8,9
36,-16,6,10,16,5,12,11,12,8,8,12,4,4,8,4
37,-16,6,10,16,10,12,6,7,13,3,2,9,4,8,14
38,-26,6,20,26,10,12,16,2,18,8,22,24,14,13,4
39,-26,6,20,26,10,12,16,17,18,8,7,9,14,13,19
40,-26,6,20,26,10,12,16,17,18,8,22,9,14,13,4
41,-12,7,5,12,10,4,2,4,6,6,4,8,8,6,8
42,-12,7,5,12,10,9,2,4,6,6,4,8,3,6,8
43,-12,7,5,12,10,9,2,4,6,6,9,8,3,6,3
44,-18,8,10,18,5,6,13,6,4,14,6,12,12,9,12
45,-18,8,10,18,10,6,8,6,4,14,6,12,12,9,12
46,-18,8,10,18,10,6,8,6,14,4,6,12,12,9,12
47,-14,9,5,14,10,3,4,8,12,2,13,6,11,7,1
48,-14,9,5,14,10,8,4,8,12,2,3,6,6,7,11
49,-34,9,25,34,20,18,14,13,27,7,8,21,16,17,26
50,-16,11,5,16,10,12,6,12,8,8,7,4,4,8,9
51,-16,11,5,16,10,12,6,12,8,8,12,4,4,8,4
52,-22,12,10,22,5,9,17,4,6,16,14,18,13,11,8
53,-22,12,10,22,20,9,2,4,6,16,14,18,13,11,8
54,-32,12,20,32,10,24,22,14,6,26,19,18,8,16,13
55,-32,12,20,32,10,24,22,14,21,11,4,18,8,16,28
56,-32,12,20,32,10,24,22,14,21,11,19,18,8,16,13
57,-32,12,20,32,25,24,7,14,6,26,19,18,8,16,13
58,-32,12,20,32,25,24,7,14,21,11,4,18,8,16,28
59,-32,12,20,32,25,24,7,14,21,11,19,18,8,16,13
60,-52,12,40,52,20,24,32,19,36,16,14,33,28,26,38
61,-18,13,5,18,10,6,8,6,14,4,6,12,12,9,12
62,-28,18,10,28,20,6,8,16,9,19,11,12,22,14,17
63,-28,18,10,28,20,6,8,16,24,4,11,12,22,14,17
64,-28,18,10,28,20,21,8,16,9,19,11,12,7,14,17
65,-28,18,10,28,20,21,8,16,24,4,11,12,7,14,17
66,-38,18,20,38,10,6,28,26,24,14,16,12,32,19,22
67,-26,21,5,26,10,12,16,17,18,8,7,9,14,13,19
68,-56,21,35,56,40,42,16,32,48,8,7,24,14,28,49
69,-56,21,35,56,40,42,16,32,48,8,22,24,14,28,34
70,-34,24,10,34,20,18,14,13,12,22,8,21,16,17,26
71,-34,24,10,34,20,18,14,13,27,7,8,21,16,17,26
72,-34,24,10,34,20,18,14,28,12,22,8,6,16,17,26
73,-34,24,10,34,20,18,14,28,12,22,23,6,16,17,11
74,-44,24,20,44,25,33,19,8,12,32,28,36,11,22,16
75,-44,24,20,44,40,33,4,8,12,32,28,36,11,22,16
76,-64,24,40,64,20,48,44,43,42,22,23,21,16,32,41
77,-64,24,40,64,20,48,44,43,42,22,38,21,16,32,26
78,-46,36,10,46,20,12,26,22,18,28,32,24,34,23,14
79,-56,36,20,56,40,12,16,32,18,38,37,24,44,28,19
80,-56,36,20,56,40,42,16,17,18,38,22,39,14,28,34
81,-56,36,20,56,40,42,16,32,18,38,37,24,14,28,19
