# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-10,1,2,3,4,5,6,7,8,9,10
11,-18,4,8,12,5,9,13,6,10,14,18
12,-18,4,8,12,16,9,2,6,10,14,18
13,-16,6,12,7,2,8,14,9,4,10,16
14,-16,6,12,7,13,8,3,9,4,10,16
15,-14,8,5,2,10,7,4,12,9,6,14
16,-24,9,18,5,14,12,10,19,6,15,24
17,-24,9,18,16,3,12,21,8,6,15,24
18,-24,9,18,16,14,12,10,8,6,15,24
19,-12,10,9,8,7,6,5,4,3,2,12
20,-20,13,4,6,8,10,12,14,16,7,20
21,-20,13,15,6,8,10,12,14,5,7,20
22,-30,14,6,20,12,15,18,10,24,16,30
23,-18,15,8,12,5,9,13,6,10,3,18
24,-28,16,21,4,20,14,8,24,7,12,28
25,-26,18,14,10,6,13,20,16,12,8,26
26,-24,20,7,16,14,12,10,8,17,4,24
27,-30,25,6,20,12,15,18,10,24,5,30
