count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
1,-3.00,2.00,1.50,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00
1,-8.67,5.00,4.33,5.67,5.00,2.00,5.67,2.67,6.33,3.33,2.67,4.00,7.67,4.67,4.00,5.33,4.67,6.00,1.00,6.67,6.00,3.00,2.33,3.67,3.00,3.67
4,-13.00,5.00,6.50,10.00,5.00,2.00,10.00,7.00,2.00,5.50,7.00,4.00,12.00,9.00,4.00,7.50,9.00,6.00,1.00,11.00,6.00,3.00,11.00,8.00,3.00,8.00
1,-6.50,3.00,3.25,2.75,3.00,2.50,2.75,2.25,2.50,2.00,5.50,5.00,5.25,1.50,1.75,4.50,4.75,4.25,1.25,4.00,1.00,3.75,4.00,3.50,3.75,3.50
1,-4.00,3.00,2.00,2.00,2.50,1.00,1.50,3.00,1.00,2.00,1.00,2.00,2.50,2.00,2.00,2.00,2.00,1.00,1.50,3.00,3.00,2.00,3.00,1.00,2.50,1.50
1,-4.33,2.67,2.17,1.00,2.67,2.22,3.17,2.00,1.50,3.22,1.28,3.00,1.06,1.33,2.28,1.11,2.06,2.33,3.28,2.11,3.06,3.33,2.83,1.67,1.17,1.67
1,-8.67,4.00,4.33,2.22,5.44,3.33,3.67,4.44,7.67,2.67,3.00,6.67,7.00,2.00,2.33,6.00,6.33,4.22,1.67,5.33,5.67,6.44,1.00,4.67,5.00,3.22
1,-8.67,2.00,4.33,4.00,3.08,6.00,2.92,5.83,2.75,5.67,3.67,3.33,5.67,5.33,7.67,3.00,1.00,2.83,3.00,2.67,5.00,4.67,5.92,6.67,5.75,5.58
1,-8.67,4.67,4.33,5.00,2.50,5.33,5.00,3.50,1.00,6.00,5.67,2.00,6.00,6.67,6.33,2.67,2.33,5.17,2.67,3.33,3.00,3.67,7.67,4.00,3.67,6.17
3,-13.00,1.00,6.50,2.00,7.50,3.00,2.00,4.00,3.00,5.00,4.00,6.00,5.00,7.00,6.00,8.00,7.00,9.00,8.00,10.00,9.00,11.00,10.00,12.00,11.00,5.50
1,-6.50,4.00,3.25,1.50,4.00,2.25,1.50,3.00,5.50,3.75,3.00,4.50,3.75,2.00,4.50,2.75,2.00,3.50,2.75,4.25,3.50,5.00,1.00,2.50,5.00,2.50
