count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24
3,-13.00,5.50,6.50,11.00,12.00,10.00,4.50,9.00,10.00,8.00,9.00,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,3.00,4.00,2.00,3.00,7.50,8.50,1.00
4,-13.00,11.00,6.50,9.00,4.50,7.00,9.00,5.00,7.00,3.00,5.00,7.50,3.00,5.50,1.00,10.00,12.00,8.00,10.00,6.00,8.00,4.00,6.00,2.00,4.00,8.50
1,-5.20,2.80,2.60,3.00,1.50,3.20,1.70,3.40,1.90,1.00,2.10,1.20,2.30,4.00,2.50,4.20,2.70,1.80,2.90,2.00,3.10,2.20,3.30,2.40,3.50,3.70
1,-3.00,2.00,1.50,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00
1,-6.50,2.50,3.25,1.75,2.50,1.00,1.75,3.50,4.25,2.75,3.50,2.00,2.75,4.50,5.25,3.75,1.25,3.00,3.75,5.50,3.00,4.75,2.25,4.00,4.75,4.00
1,-3.00,1.00,1.50,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00
1,-6.50,4.00,3.25,1.50,2.38,5.50,3.13,3.00,2.25,3.75,1.37,4.50,3.75,2.00,1.25,2.75,5.25,3.50,2.75,1.00,5.13,5.00,4.25,2.50,3.38,4.13
2,-8.67,2.00,4.33,4.00,6.33,6.00,6.17,3.67,1.67,1.33,3.67,3.33,5.67,5.33,7.67,7.33,1.00,5.00,3.00,2.67,5.00,4.67,7.00,6.67,2.50,2.33
1,-5.57,3.29,2.79,1.00,2.36,4.29,1.93,2.00,1.50,3.43,1.07,3.00,2.50,2.57,2.07,2.14,3.50,3.57,3.07,1.29,4.50,4.57,4.07,2.29,3.64,3.21
1,-4.00,3.00,2.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00
1,-5.20,2.72,2.60,3.36,2.20,2.96,2.84,3.60,1.40,3.20,1.00,2.80,3.72,2.40,1.24,2.00,3.96,1.60,1.48,2.24,4.20,1.84,3.80,2.48,2.36,3.00
1,-8.67,4.22,4.33,2.67,5.67,4.00,2.67,5.33,5.44,6.67,1.00,2.22,3.78,6.44,3.67,2.00,5.00,3.33,4.89,4.67,7.67,6.00,3.22,4.44,6.00,3.00
1,-6.00,4.00,3.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,4.00,4.00,2.00,2.00,4.00,4.00,3.00,2.00,4.00,4.00,4.00,4.00,2.00,4.00,5.00
1,-8.67,6.00,4.33,3.33,1.67,3.56,7.67,6.67,5.00,4.00,5.22,4.22,2.56,4.44,5.67,4.67,3.00,2.00,6.11,5.11,3.44,5.33,3.67,2.67,1.00,7.00
1,-4.33,3.00,2.17,1.67,1.56,3.22,1.67,3.33,2.50,2.00,1.17,2.11,2.72,2.22,2.83,2.33,1.50,1.00,1.61,1.11,3.17,2.67,1.83,1.33,2.67,2.78
3,-13.00,10.00,6.50,7.00,10.00,4.00,7.00,1.00,4.00,11.00,7.50,8.00,11.00,5.00,8.00,2.00,5.00,12.00,2.00,9.00,5.50,6.00,9.00,3.00,6.00,3.00
22,-26.00,4.00,13.00,8.00,17.00,12.00,21.00,16.00,25.00,20.00,3.00,24.00,7.00,2.00,11.00,6.00,15.00,10.00,19.00,14.00,23.00,18.00,1.00,22.00,5.00,9.00
2,-13.00,7.00,6.50,1.00,7.00,8.00,7.50,2.00,8.00,9.00,2.00,3.00,9.00,10.00,3.00,4.00,10.00,11.00,4.00,5.00,11.00,12.00,5.00,6.00,5.50,6.00
1,-6.50,2.75,3.25,5.50,2.75,1.75,2.25,4.50,5.00,4.00,1.25,3.50,4.00,3.00,3.50,2.50,3.00,2.00,2.50,4.75,5.25,1.00,1.50,3.75,4.25,3.75
1,-4.33,1.22,2.17,1.00,1.94,2.22,3.17,2.00,2.94,3.22,2.72,1.56,1.06,2.78,2.28,1.11,2.06,2.33,3.28,2.11,1.61,3.33,1.39,3.11,1.17,2.39
1,-8.67,3.33,4.33,6.67,7.67,5.67,2.33,4.67,5.67,5.83,5.75,2.67,3.67,6.00,5.92,2.83,2.75,4.00,5.00,3.00,2.92,2.00,3.00,5.33,6.33,1.00
1,-8.67,3.33,4.33,6.67,7.67,4.22,2.33,4.67,5.67,2.22,3.22,2.67,3.67,6.00,7.00,6.44,1.67,4.00,5.00,4.44,5.44,2.00,3.00,5.33,6.33,1.00
23,-26.00,8.00,13.00,16.00,21.00,24.00,3.00,6.00,11.00,14.00,19.00,22.00,1.00,4.00,9.00,12.00,17.00,20.00,25.00,2.00,7.00,10.00,15.00,18.00,23.00,5.00
1,-5.20,2.50,2.60,2.40,3.80,2.30,3.70,3.50,1.00,3.40,3.50,2.00,3.40,3.20,3.30,1.80,1.90,1.70,1.80,2.90,1.70,2.80,4.20,2.70,1.50,1.40
1,-8.67,6.00,4.33,3.33,1.67,5.00,7.67,6.67,5.00,4.00,2.33,5.67,4.00,3.00,5.67,4.67,3.00,2.00,4.67,3.67,6.33,5.33,3.67,2.67,1.00,7.00
1,-6.19,4.00,3.10,3.05,2.14,3.33,1.19,2.38,5.19,1.43,3.00,4.19,4.52,2.00,3.57,4.76,2.62,3.81,1.67,2.86,3.19,3.14,1.00,2.19,5.00,4.05
1,-6.50,3.50,3.25,3.75,3.50,4.00,3.75,1.00,4.00,4.50,4.25,4.75,1.25,1.75,1.50,2.00,5.00,5.50,5.25,2.50,2.25,2.75,2.50,3.00,2.75,3.00
1,-6.50,4.00,3.25,1.50,4.00,5.50,1.50,3.00,2.25,3.75,3.00,4.50,3.75,2.00,1.25,2.75,5.25,3.50,2.75,1.00,3.50,5.00,4.25,2.50,5.00,2.50
1,-8.67,4.44,4.33,6.00,3.00,4.67,1.67,3.33,3.22,2.00,7.67,6.44,6.33,2.22,5.00,6.67,3.67,5.33,2.33,4.00,1.00,2.67,5.44,4.22,7.00,5.67
1,-5.52,1.52,2.76,3.03,3.48,2.97,1.06,2.12,1.00,1.27,2.52,2.00,4.03,3.52,3.18,4.24,2.33,3.39,1.48,2.55,3.00,2.48,4.52,4.00,4.45,2.03
1,-7.80,5.40,3.90,3.00,2.80,5.80,3.00,6.00,5.80,3.60,3.40,3.80,1.00,4.00,3.80,4.20,4.00,1.80,6.80,2.00,4.40,4.80,2.00,2.40,4.80,5.00
1,-8.67,5.11,4.33,7.33,3.67,6.67,3.00,6.00,2.33,5.33,1.67,4.67,1.00,4.00,6.11,3.33,2.56,2.67,7.67,2.00,7.00,1.33,6.33,3.56,5.67,5.00
3,-13.00,10.00,6.50,7.00,3.50,4.00,7.00,1.00,10.50,11.00,7.50,8.00,4.50,5.00,8.00,2.00,5.00,12.00,8.50,9.00,5.50,6.00,2.50,3.00,6.00,9.50
4,-13.00,8.00,6.50,3.00,8.00,11.00,3.00,6.00,4.50,1.00,6.00,9.00,7.50,4.00,9.00,12.00,4.00,7.00,5.50,2.00,7.00,10.00,8.50,5.00,10.00,5.00
1,-8.67,4.00,4.33,3.67,4.00,3.33,3.67,3.00,7.67,2.67,3.00,6.67,7.00,2.00,6.67,6.00,2.00,5.67,1.67,5.33,5.67,5.00,1.00,4.67,5.00,4.67
13,-13.00,12.00,6.50,11.00,12.00,10.00,11.00,9.00,10.00,8.00,9.00,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,3.00,4.00,2.00,3.00,1.00,2.00,1.00
1,-5.78,4.78,2.89,3.78,1.89,2.78,1.61,3.22,1.33,2.22,1.78,2.67,4.39,3.11,3.39,3.56,2.39,2.56,1.39,3.00,4.00,2.00,4.44,1.00,4.17,3.89
1,-5.20,1.70,2.60,3.40,3.00,1.20,3.40,1.60,3.80,2.00,4.20,2.40,2.00,2.80,2.40,3.20,2.80,3.60,3.20,4.00,1.00,1.80,1.40,3.50,1.80,2.20
1,-6.50,3.00,3.25,2.75,3.00,2.50,2.75,5.50,2.50,2.00,2.25,1.75,5.25,4.75,5.00,4.50,1.50,1.00,1.25,4.00,4.25,3.75,4.00,3.50,3.75,3.50
7,-13.00,4.00,6.50,8.00,10.50,12.00,1.50,3.00,5.50,7.00,9.50,11.00,7.00,2.00,4.50,6.00,8.50,10.00,6.00,1.00,3.50,5.00,7.50,9.00,11.50,2.50
1,-6.50,3.50,3.25,3.75,3.50,4.00,2.13,4.25,4.00,4.50,1.00,1.50,4.50,5.00,1.50,2.00,5.00,2.25,2.00,2.50,5.50,2.75,2.50,3.00,4.38,3.00
1,-8.67,2.00,4.33,4.00,2.00,6.00,4.00,3.67,1.67,5.67,3.67,3.33,5.67,5.33,7.67,3.00,1.00,5.00,3.00,2.67,5.00,4.67,7.00,6.67,4.67,6.67
1,-4.33,2.33,2.17,2.50,1.25,2.67,1.42,1.75,1.58,3.00,2.83,1.00,3.00,3.33,3.17,1.33,1.17,2.58,1.33,1.67,1.50,1.83,2.75,2.00,2.92,3.08
1,-4.59,2.12,2.29,1.18,2.88,1.76,3.47,2.35,1.00,1.41,1.59,2.00,2.18,2.59,1.24,3.18,3.35,2.24,2.41,2.82,3.00,3.41,3.59,2.47,1.12,1.71
1,-6.50,2.00,3.25,4.00,3.63,2.75,2.38,1.50,2.75,3.50,4.75,5.50,5.13,1.00,3.88,3.00,2.63,5.00,1.37,3.75,1.75,2.50,3.75,4.50,4.13,2.88
3,-13.00,10.00,6.50,7.00,3.50,4.00,7.00,1.00,4.00,11.00,7.50,8.00,4.50,5.00,8.00,2.00,5.00,12.00,8.50,9.00,5.50,6.00,9.00,3.00,6.00,9.50
1,-4.33,3.00,2.17,1.67,3.00,1.42,2.75,1.17,1.42,2.00,3.33,2.83,2.00,1.50,2.83,2.33,1.50,3.17,2.33,2.92,1.00,2.67,2.92,1.33,1.58,1.33
1,-5.20,3.20,2.60,1.20,2.33,2.67,1.20,2.40,3.53,3.87,2.40,3.60,3.00,1.60,1.00,1.33,4.20,2.80,2.20,2.53,2.80,4.00,1.67,2.00,4.00,2.87
2,-13.00,11.00,6.50,9.00,4.50,7.00,2.50,5.00,7.00,3.00,5.00,1.00,9.50,12.00,7.50,10.00,5.50,8.00,3.50,6.00,8.00,4.00,6.00,2.00,10.50,8.50
1,-4.33,2.83,2.17,1.33,1.75,2.00,1.33,2.67,3.08,1.17,2.67,2.92,3.33,1.42,2.92,3.17,1.42,1.67,1.00,2.33,1.67,3.00,1.25,1.50,3.00,2.58
1,-8.67,7.67,4.33,6.67,5.50,5.67,4.50,4.67,3.50,3.67,2.50,2.67,5.83,6.00,4.83,5.00,3.83,4.00,2.83,3.00,6.17,2.00,5.17,1.00,4.17,3.17
1,-8.67,6.67,4.33,4.67,2.33,2.67,5.53,2.40,7.00,3.87,5.00,5.33,3.00,3.33,1.00,4.80,7.67,6.27,5.67,6.00,3.67,4.00,1.67,2.00,3.13,6.33
1,-6.50,4.25,3.25,2.00,1.00,3.00,5.25,4.00,3.00,5.00,4.00,2.75,5.00,3.75,2.75,1.50,3.75,2.50,1.50,3.50,2.50,4.50,3.50,2.25,1.25,5.50
1,-5.20,2.20,2.60,3.10,2.20,4.00,3.10,3.60,1.40,3.20,1.00,2.80,1.90,2.40,4.10,2.00,1.10,1.60,3.30,1.20,4.20,2.10,3.80,3.00,2.10,3.00
1,-8.67,3.67,4.33,3.00,3.67,6.67,3.00,6.00,6.67,5.33,1.67,4.67,1.00,4.00,4.67,3.33,4.00,2.67,7.67,2.00,7.00,5.67,2.00,5.00,5.67,5.00
1,-6.69,4.00,3.34,2.06,4.37,3.09,1.69,3.37,5.69,5.14,3.00,4.69,1.80,2.00,2.83,1.54,3.86,3.31,4.89,3.60,3.69,4.63,1.00,2.69,5.00,2.31
1,-6.50,3.00,3.25,2.75,3.00,2.50,2.75,2.25,2.50,2.00,5.50,5.00,2.00,1.50,1.75,4.50,4.75,4.25,4.50,4.00,1.00,3.75,4.00,3.50,3.75,3.50
1,-4.98,2.00,2.49,3.45,1.72,1.02,2.62,1.91,3.51,2.81,1.09,2.04,1.98,2.94,3.98,2.17,1.00,3.06,3.00,3.96,3.89,1.53,1.47,2.98,2.36,3.26
1,-5.20,2.00,2.60,4.00,2.00,2.10,4.00,2.80,2.10,2.20,2.80,4.20,2.20,1.00,1.60,3.00,3.60,2.40,3.00,3.10,2.40,1.20,3.10,3.20,1.20,3.20
1,-6.50,3.75,3.25,1.00,3.75,1.50,1.00,2.00,1.50,2.50,2.00,3.00,2.50,3.50,3.00,4.00,3.50,4.50,4.00,5.00,4.50,5.50,5.00,2.75,5.50,2.75
2,-6.50,2.00,3.25,4.00,2.00,2.75,4.00,1.50,2.75,3.50,1.50,5.50,3.50,1.00,2.25,3.00,4.25,5.00,3.00,3.75,5.00,2.50,3.75,4.50,2.50,4.50
1,-7.43,5.14,3.71,4.71,3.29,4.29,1.00,2.00,6.14,3.43,3.86,4.86,5.29,2.57,3.00,4.00,4.43,5.43,2.14,3.14,3.57,2.71,1.29,2.29,6.43,4.14
1,-8.67,6.00,4.33,7.67,3.83,5.00,5.50,6.67,2.83,4.00,4.50,5.67,6.17,3.00,3.50,4.67,5.17,2.00,2.50,3.67,4.17,1.00,5.83,2.67,3.17,4.83
1,-4.33,1.50,2.17,1.92,1.50,2.33,3.00,1.67,1.25,3.17,1.67,1.42,1.00,2.92,1.42,1.17,2.92,2.67,3.33,2.00,2.67,2.42,3.08,2.83,1.33,2.83
1,-8.67,6.00,4.33,3.33,1.67,2.40,7.67,6.67,5.00,4.00,2.33,4.80,3.13,3.87,5.67,4.67,3.00,2.00,5.53,6.27,6.33,5.33,3.67,2.67,1.00,7.00
1,-5.20,4.20,2.60,3.20,4.20,2.20,3.20,1.20,2.20,2.80,3.80,3.10,2.80,2.10,1.80,2.40,3.40,4.00,2.40,3.00,1.40,2.00,3.00,1.00,2.00,1.00
1,-5.91,1.73,2.95,3.45,2.91,4.00,3.45,3.36,4.00,3.91,1.00,2.09,1.55,3.82,3.27,2.00,2.64,2.55,4.36,1.91,4.91,2.45,1.91,4.18,2.45,3.00
1,-4.33,3.00,2.17,1.67,3.00,2.74,1.67,1.89,3.22,2.00,3.33,2.11,2.96,2.22,1.63,2.33,2.70,2.44,1.37,1.59,1.00,2.67,1.11,1.33,2.67,1.33
2,-6.50,4.00,3.25,1.50,4.00,5.50,4.75,3.00,5.50,3.75,3.00,4.50,3.75,2.00,4.50,2.75,2.00,3.50,2.75,1.00,3.50,5.00,1.00,2.50,1.75,2.50
2,-13.00,9.00,6.50,5.00,9.00,1.00,5.00,10.00,7.50,6.00,10.00,2.00,6.00,11.00,8.50,7.00,4.50,3.00,7.00,12.00,3.00,8.00,5.50,4.00,8.00,4.00
1,-6.50,3.00,3.25,2.75,3.00,2.50,2.75,5.50,2.50,2.00,5.50,5.00,2.00,1.50,1.75,4.50,4.75,1.00,4.50,4.00,1.00,3.75,4.00,3.50,3.75,3.50
1,-3.00,2.00,1.50,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00
1,-8.67,5.33,4.33,2.00,1.00,3.00,6.33,4.00,3.00,5.00,4.00,6.00,5.00,2.67,6.00,3.67,2.67,4.67,3.67,5.67,4.67,6.67,5.67,3.33,2.33,7.67
1,-6.50,5.50,3.25,4.50,2.25,3.50,1.25,2.50,5.13,1.50,4.13,3.75,3.13,2.75,3.75,5.00,2.75,4.00,3.38,3.00,2.38,2.00,1.37,1.00,5.25,4.25
1,-4.33,1.56,2.17,1.67,3.00,3.22,1.67,3.33,3.22,2.00,3.33,2.11,2.00,2.22,2.11,2.33,2.22,1.00,2.33,1.11,1.00,2.67,1.11,2.78,2.67,1.33
1,-8.67,2.00,4.33,4.00,6.33,6.00,4.00,3.67,6.00,1.33,3.67,3.33,5.67,5.33,7.67,7.33,1.00,5.00,3.00,2.67,5.00,4.67,2.67,6.67,4.67,2.33
1,-4.00,2.00,2.00,2.00,3.00,2.00,2.50,1.00,1.00,2.00,3.00,1.50,1.00,2.50,3.00,2.00,1.00,3.00,3.00,2.00,1.00,2.00,3.00,2.00,1.50,1.00
19,-13.00,3.00,6.50,6.00,3.00,9.00,6.00,12.00,9.00,2.00,12.00,5.00,2.00,8.00,5.00,11.00,8.00,1.00,11.00,4.00,1.00,7.00,4.00,10.00,7.00,10.00
1,-13.00,10.00,6.50,7.00,10.00,4.00,7.00,7.50,4.00,11.00,1.00,8.00,11.00,5.00,8.00,2.00,5.00,5.50,2.00,9.00,12.00,6.00,9.00,3.00,6.00,3.00
3,-6.50,5.00,3.25,3.50,1.75,2.00,3.50,3.75,2.00,5.50,3.75,4.00,5.50,2.50,4.00,1.00,2.50,2.75,1.00,4.50,2.75,3.00,4.50,1.50,3.00,4.75
1,-6.50,1.00,3.25,2.00,4.25,3.00,5.25,4.00,1.37,5.00,2.38,2.75,3.38,3.75,2.75,1.50,3.75,2.50,3.13,3.50,4.13,4.50,5.13,5.50,1.25,2.25
1,-8.67,3.33,4.33,6.67,7.67,1.33,2.33,4.67,5.67,3.67,4.67,2.67,3.67,6.00,7.00,5.00,1.67,4.00,5.00,7.33,4.00,2.00,3.00,5.33,6.33,1.00
1,-6.50,2.25,3.25,4.50,5.50,3.50,4.50,2.50,3.50,1.50,2.50,3.75,4.75,2.75,2.13,5.00,4.38,4.00,1.75,3.00,4.00,2.00,3.00,4.25,2.00,1.00
6,-13.00,5.50,6.50,11.00,12.00,10.00,11.00,9.00,10.00,8.00,9.00,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,3.00,4.00,2.00,3.00,7.50,2.00,1.00
1,-8.67,1.33,4.33,2.67,5.67,4.00,4.11,5.33,2.56,6.67,1.00,5.11,2.33,3.56,3.67,2.00,5.00,3.33,6.33,4.67,7.67,6.00,6.11,7.33,4.56,3.00
7,-13.00,6.00,6.50,12.00,6.00,5.00,5.50,11.00,11.50,4.00,4.50,10.00,10.50,3.00,3.50,9.00,9.50,2.00,2.50,8.00,8.50,1.00,1.50,7.00,7.50,7.00
1,-6.50,3.50,3.25,3.75,3.50,4.00,3.75,1.00,4.00,4.50,1.00,1.50,4.50,5.00,4.75,2.00,1.75,5.50,2.00,2.50,5.50,2.75,2.50,3.00,2.75,3.00
1,-6.50,3.75,3.25,4.25,3.75,1.50,1.00,2.00,1.50,2.50,2.00,3.00,2.50,3.50,3.00,4.00,3.50,4.50,4.00,5.00,4.50,2.25,5.00,2.75,5.50,2.75
5,-13.00,8.00,6.50,3.00,8.00,11.00,9.50,6.00,4.50,1.00,6.00,9.00,7.50,4.00,2.50,12.00,10.50,7.00,5.50,2.00,7.00,10.00,8.50,5.00,3.50,5.00
1,-13.00,5.50,6.50,11.00,12.00,3.50,4.50,9.00,10.00,8.00,9.00,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,9.50,4.00,2.00,3.00,7.50,8.50,1.00
1,-4.33,2.11,2.17,1.33,2.11,2.00,1.33,1.94,2.00,3.33,2.67,3.28,3.33,1.06,1.11,1.00,3.22,2.39,1.00,2.33,1.67,3.00,2.33,2.22,3.00,2.22
1,-5.78,2.22,2.89,1.56,3.67,3.78,3.00,1.67,2.33,2.44,4.56,1.78,1.00,4.00,3.22,3.33,2.56,4.11,4.78,2.00,1.22,4.22,3.44,3.56,2.78,2.11
4,-8.67,7.33,4.33,6.00,3.00,4.67,1.67,3.33,2.50,2.00,7.67,5.00,6.33,3.67,5.00,6.67,3.67,5.33,2.33,4.00,1.00,2.67,6.17,1.33,7.00,5.67
1,-4.33,2.22,2.17,3.00,1.50,2.33,1.56,3.11,3.06,1.00,2.39,3.22,3.17,1.11,2.50,3.33,1.83,1.22,1.17,2.00,1.94,1.33,1.28,2.11,2.78,2.83
3,-13.00,12.00,6.50,11.00,5.50,10.00,4.50,9.00,10.00,8.00,9.00,7.00,8.00,6.00,7.00,5.00,6.00,4.00,5.00,3.00,4.00,2.00,3.00,1.00,8.50,7.50
20,-26.00,2.00,13.00,4.00,15.00,6.00,17.00,8.00,19.00,10.00,21.00,12.00,23.00,14.00,25.00,16.00,1.00,18.00,3.00,20.00,5.00,22.00,7.00,24.00,9.00,11.00
1,-8.67,5.67,4.33,7.00,5.67,4.00,2.67,5.33,4.00,6.67,1.00,3.67,6.67,5.00,3.67,2.00,5.00,3.33,2.00,4.67,7.67,1.67,4.67,3.00,6.00,3.00
1,-8.67,5.33,4.33,2.00,1.00,7.33,6.33,4.00,3.00,5.00,4.00,6.00,5.00,2.67,6.00,3.67,2.67,4.67,3.67,1.33,4.67,6.67,5.67,3.33,2.33,7.67
1,-13.00,9.00,6.50,5.00,2.50,1.00,5.00,10.00,7.50,6.00,3.50,2.00,6.00,11.00,8.50,7.00,4.50,3.00,7.00,12.00,9.50,8.00,5.50,4.00,8.00,10.50
1,-6.50,4.50,3.25,2.50,1.25,3.75,2.50,5.00,3.75,3.00,1.75,4.25,3.00,2.25,1.00,3.50,5.50,1.50,3.50,2.75,4.75,4.00,2.75,2.00,4.00,5.25
1,-7.43,4.00,3.71,4.29,2.14,4.57,6.14,4.86,6.43,5.14,3.00,5.43,3.29,2.00,3.57,2.29,3.86,2.57,4.14,2.86,4.43,3.14,1.00,3.43,1.29,5.29
1,-6.93,4.00,3.47,4.53,2.27,2.47,4.53,2.13,5.93,3.53,3.00,4.93,4.40,2.00,1.47,3.40,5.47,4.80,2.53,4.47,3.93,2.40,1.00,2.93,2.40,4.67
1,-8.67,6.00,4.33,7.67,6.00,5.00,3.33,6.67,5.00,4.00,2.33,5.67,4.00,3.00,5.67,4.67,3.00,2.00,4.67,3.67,6.33,1.00,3.67,2.67,5.33,2.67
1,-6.19,4.76,3.10,3.33,1.67,1.90,5.19,4.19,5.00,4.00,3.57,3.81,3.38,2.38,3.19,2.19,3.00,2.00,2.81,4.29,2.62,2.86,1.19,1.43,1.00,4.52
1,-4.73,2.00,2.36,1.64,3.18,1.27,2.82,3.27,2.45,2.91,3.27,1.36,1.73,3.36,3.73,1.82,1.00,1.45,3.00,3.45,1.45,3.09,2.27,2.73,1.91,1.55
1,-6.50,4.00,3.25,4.75,2.38,5.50,3.13,3.00,2.25,3.75,1.37,4.50,3.75,2.00,1.25,2.75,5.25,3.50,2.75,1.00,5.13,1.75,4.25,2.50,3.38,4.13
2,-8.67,4.00,4.33,3.67,6.17,3.33,3.67,7.33,7.67,2.67,3.00,6.67,7.00,2.00,2.33,6.00,6.33,1.33,1.67,5.33,5.67,5.00,1.00,4.67,5.00,2.50
1,-6.50,2.50,3.25,5.00,2.50,3.17,5.00,3.50,1.00,4.92,3.50,2.00,1.67,4.50,2.00,1.58,4.50,3.00,4.83,3.33,3.00,1.50,5.50,4.00,1.50,4.00
1,-3.00,2.00,1.50,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00
3,-13.00,9.00,6.50,5.00,9.00,7.50,5.00,10.00,1.00,6.00,10.00,2.00,6.00,11.00,2.00,7.00,11.00,3.00,7.00,5.50,3.00,8.00,12.00,4.00,8.00,4.00
15,-13.00,10.00,6.50,7.00,10.00,4.00,7.00,1.00,4.00,11.00,1.00,8.00,11.00,5.00,8.00,2.00,5.00,12.00,2.00,9.00,12.00,6.00,9.00,3.00,6.00,3.00
3,-13.00,1.00,6.50,2.00,7.50,3.00,8.50,4.00,3.00,5.00,4.00,6.00,5.00,7.00,6.00,8.00,7.00,9.00,8.00,10.00,9.00,11.00,10.00,12.00,4.50,5.50
16,-26.00,6.00,13.00,12.00,19.00,18.00,25.00,24.00,5.00,4.00,11.00,10.00,17.00,16.00,23.00,22.00,3.00,2.00,9.00,8.00,15.00,14.00,21.00,20.00,1.00,7.00
1,-4.33,2.00,2.17,2.56,2.00,3.11,1.11,2.22,3.11,2.78,2.22,3.33,1.33,1.00,3.33,1.56,1.00,2.11,3.00,1.22,2.11,1.78,1.22,2.33,3.22,2.33
1,-6.50,1.00,3.25,2.00,4.25,3.00,5.25,4.00,4.63,5.00,4.00,2.75,1.75,3.75,2.75,1.50,3.75,2.50,4.75,3.50,2.50,4.50,1.88,5.50,1.25,2.25
1,-5.20,3.87,2.60,2.53,1.27,2.93,1.67,3.33,3.80,2.00,4.20,2.40,2.87,2.80,3.27,3.20,1.93,1.87,2.33,2.27,1.00,2.67,1.40,1.33,3.53,3.93
3,-13.00,11.00,6.50,9.00,4.50,7.00,2.50,5.00,7.00,3.00,11.50,1.00,9.50,12.00,7.50,10.00,5.50,8.00,3.50,6.00,1.50,4.00,6.00,2.00,10.50,8.50
1,-6.50,3.00,3.25,3.83,3.00,2.50,1.67,3.33,2.50,2.00,5.50,2.83,2.00,3.67,5.00,4.50,1.50,3.17,4.50,4.00,1.00,2.67,4.00,3.50,4.83,3.50
3,-13.00,1.00,6.50,2.00,7.50,3.00,8.50,4.00,9.50,5.00,10.50,6.00,11.50,7.00,6.00,8.00,7.00,9.00,1.50,10.00,2.50,11.00,3.50,12.00,4.50,5.50
1,-6.50,2.25,3.25,4.50,5.50,3.50,1.25,2.50,3.50,1.50,2.50,3.75,1.50,2.75,3.75,5.00,2.75,4.00,5.00,3.00,4.00,2.00,3.00,4.25,5.25,1.00
5,-13.00,11.00,6.50,9.00,11.00,7.00,9.00,5.00,7.00,3.00,5.00,1.00,3.00,12.00,7.50,10.00,5.50,8.00,10.00,6.00,8.00,4.00,6.00,2.00,4.00,2.00
1,-5.20,2.53,2.60,1.60,3.40,2.40,4.20,3.20,1.53,4.00,2.33,1.33,1.40,3.87,2.20,1.20,3.00,2.00,3.80,2.80,2.87,3.60,3.67,2.67,1.00,1.80
1,-13.00,8.00,6.50,3.00,8.00,11.00,3.00,6.00,4.50,7.50,6.00,9.00,1.00,4.00,9.00,5.50,4.00,7.00,12.00,2.00,7.00,10.00,8.50,5.00,10.00,5.00
1,-8.67,6.00,4.33,3.33,1.67,3.56,7.67,6.67,5.00,4.00,2.33,4.22,2.56,4.44,5.67,4.67,3.00,2.00,6.11,5.11,6.33,5.33,3.67,2.67,1.00,7.00
1,-5.20,1.20,2.60,2.40,3.80,3.60,3.70,3.50,1.00,3.40,2.20,2.00,3.40,3.20,2.00,1.80,3.20,1.70,1.80,1.60,3.00,2.80,4.20,4.00,1.50,1.40
1,-5.20,1.60,2.60,3.20,4.20,3.50,1.90,1.20,2.20,2.80,3.80,1.80,1.50,3.40,3.10,2.40,2.10,4.00,3.70,1.70,1.40,2.00,3.00,3.60,3.30,1.00
1,-4.81,3.11,2.41,1.41,1.67,1.63,3.81,2.81,3.07,2.07,1.37,3.26,1.59,1.56,1.81,2.74,3.00,2.00,3.22,3.19,3.44,3.41,1.74,1.70,1.00,3.15
1,-8.67,3.67,4.33,7.33,3.67,6.67,3.00,6.00,2.33,5.33,6.00,4.67,1.00,4.00,4.67,3.33,4.00,2.67,7.67,2.00,2.67,1.33,6.33,5.00,5.67,5.00
1,-13.00,4.00,6.50,8.00,4.00,12.00,8.00,3.00,5.50,7.00,3.00,11.00,7.00,2.00,11.00,6.00,2.00,10.00,6.00,1.00,10.00,5.00,7.50,9.00,5.00,9.00
