count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26
1,-7.00,1.00,3.50,4.50,3.50,2.00,4.50,3.50,5.50,3.00,2.00,4.50,4.75,4.00,5.50,5.00,2.25,3.00,6.00,1.50,4.00,4.75,2.50,5.00,2.25,1.50,2.50,2.50
1,-4.94,2.35,1.24,1.94,2.47,1.41,1.53,3.71,1.00,2.12,2.24,1.12,3.35,2.82,3.47,3.53,2.41,2.94,2.59,1.47,2.00,2.53,3.82,2.71,1.59,3.94,3.41,3.00
1,-4.42,2.53,3.32,1.42,2.21,2.11,2.53,1.11,1.00,3.16,2.84,2.16,3.16,1.26,2.84,2.32,1.26,2.42,1.89,1.58,2.00,3.16,2.26,1.58,1.26,3.42,1.89,3.00
1,-4.31,1.54,1.62,1.00,2.15,3.08,1.54,2.69,1.46,2.46,2.00,3.15,3.00,1.85,1.46,1.23,1.31,1.38,2.77,2.85,2.92,3.00,1.15,2.31,1.31,2.85,2.77,3.31
1,-5.09,1.82,3.18,1.18,2.55,1.09,3.09,1.91,3.00,2.91,2.36,3.73,2.27,2.18,1.73,4.00,4.09,1.64,3.27,3.36,3.45,1.00,1.36,2.73,2.82,2.09,2.00,3.91
1,-7.00,1.00,5.25,4.50,3.50,2.00,4.50,1.75,5.50,3.00,5.50,2.75,1.25,4.00,3.75,5.00,2.25,3.00,6.00,3.25,4.00,4.75,4.25,1.50,5.75,1.50,2.50,2.50
2,-14.00,8.00,7.00,8.00,7.00,9.00,8.00,7.00,9.00,10.00,2.00,1.00,3.00,4.00,9.00,5.00,11.00,10.00,6.00,5.00,4.00,3.00,13.00,12.00,11.00,5.00,6.00,6.00
1,-7.00,5.00,3.50,1.50,3.50,3.00,5.00,3.50,3.00,1.00,3.00,5.00,4.50,6.00,3.00,4.00,2.50,1.00,2.00,4.00,6.00,4.50,2.00,4.00,2.50,4.00,2.00,5.50
1,-14.00,2.00,3.50,5.50,7.00,4.00,9.00,10.50,7.50,6.00,11.00,5.50,9.50,8.00,7.50,10.00,11.50,13.00,12.00,6.50,1.00,2.50,8.50,3.00,4.50,6.50,5.00,8.50
1,-5.09,1.82,1.27,3.09,2.55,1.09,3.09,3.82,1.73,2.91,2.36,1.18,1.00,2.18,3.00,4.00,2.82,1.64,3.27,2.09,3.45,2.27,3.91,2.73,4.09,3.36,2.00,2.00
1,-7.00,3.00,5.25,3.00,3.50,6.00,3.00,1.75,4.25,2.00,6.00,3.00,3.75,5.00,4.25,1.00,5.00,2.00,4.00,2.75,5.00,2.00,4.00,1.00,3.25,2.75,4.00,4.00
1,-7.00,5.00,1.75,5.00,3.50,3.00,1.50,5.25,4.75,1.00,3.00,3.25,2.75,6.00,1.25,4.00,4.25,4.50,2.00,5.75,2.50,2.75,3.75,4.00,4.25,2.25,5.50,2.00
5,-14.00,8.00,3.50,11.50,7.00,2.00,1.00,10.50,5.50,10.00,9.00,4.50,6.50,4.00,12.50,12.00,7.50,3.00,6.00,1.50,11.00,6.50,9.50,5.00,7.50,8.50,13.00,2.50
1,-9.33,3.33,2.33,1.00,4.67,6.67,3.33,7.00,4.33,5.33,2.00,5.67,3.00,4.00,4.33,2.67,6.33,5.33,6.00,5.00,4.00,3.00,3.67,7.33,6.33,5.00,6.00,8.33
1,-7.00,5.00,5.25,3.25,3.50,3.00,4.30,1.75,2.65,1.00,3.70,5.35,2.05,6.00,4.75,4.00,4.25,4.50,2.00,2.25,2.50,2.75,1.65,3.30,4.95,4.35,2.70,3.75
1,-5.60,3.20,1.40,4.60,2.80,4.53,2.27,4.20,2.20,2.13,3.60,1.80,3.53,3.47,3.13,1.07,3.00,1.20,2.40,2.47,4.40,2.60,3.80,2.00,2.07,3.40,3.33,1.00
1,-3.00,1.00,2.00,1.00,1.50,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00
2,-7.00,3.00,3.50,3.00,3.50,6.00,3.00,3.50,6.00,2.00,6.00,3.00,2.00,5.00,2.50,1.00,5.00,2.00,4.00,4.50,5.00,2.00,4.00,1.00,5.00,1.00,4.00,4.00
1,-6.00,2.00,3.00,3.00,3.00,2.00,4.00,3.00,3.00,2.00,2.00,3.00,3.00,4.00,5.00,4.00,5.00,2.00,4.00,1.00,4.00,1.00,3.00,4.00,3.00,3.00,2.00,3.00
1,-9.33,6.00,2.33,8.33,4.67,2.67,6.00,7.00,5.00,4.00,7.33,3.67,1.67,5.33,5.00,6.67,3.00,4.00,3.33,4.33,5.33,6.33,5.67,2.00,7.67,4.33,3.33,1.00
1,-7.00,4.00,2.45,2.25,3.50,1.00,3.30,4.55,2.05,5.00,4.50,5.75,3.25,2.00,2.75,6.00,1.65,2.90,3.00,4.25,4.10,5.35,1.25,2.50,3.75,4.95,3.70,4.75
1,-7.00,5.00,2.00,2.00,3.50,3.00,4.00,5.00,4.00,1.00,3.00,4.00,2.00,6.00,5.00,4.00,2.00,4.00,2.00,2.00,3.00,5.00,3.00,4.00,5.00,3.00,3.00,5.00
1,-7.00,2.00,5.25,2.00,3.50,4.00,2.00,1.75,4.00,6.00,4.00,2.00,6.00,1.00,4.00,3.00,4.50,4.25,5.00,3.00,2.75,2.50,5.00,3.00,1.00,3.00,5.00,5.00
1,-7.00,2.00,5.25,2.00,3.50,4.00,5.50,1.75,2.25,6.00,4.00,3.75,4.25,1.00,5.75,3.00,2.75,2.50,5.00,1.25,4.50,4.25,3.25,3.00,2.75,4.75,1.50,5.00
1,-7.00,1.00,1.75,2.75,3.50,2.00,4.50,5.25,3.75,3.00,5.50,2.75,4.75,4.00,2.00,5.00,5.75,3.00,6.00,5.00,4.00,1.25,4.25,1.50,2.25,3.25,2.50,4.25
1,-6.22,1.78,2.33,1.00,3.11,3.56,3.33,3.89,2.78,2.22,2.00,4.11,1.44,4.00,4.33,2.67,3.22,3.78,4.44,1.89,2.44,3.00,2.11,4.22,4.78,3.44,2.89,5.22
1,-4.00,2.00,1.00,3.00,2.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,3.00,2.00,3.00,1.00,2.00,3.00,3.00,2.00,1.00
1,-4.83,2.48,3.62,3.21,2.41,2.07,2.00,1.21,3.76,2.62,3.52,1.76,1.41,2.21,2.31,2.76,1.00,2.14,2.34,2.52,2.69,3.83,3.07,1.31,3.41,1.07,2.83,1.62
1,-7.47,3.47,2.33,5.80,3.73,5.07,2.53,5.13,3.67,4.80,4.13,3.00,3.40,2.67,6.47,2.40,5.00,2.00,4.00,1.00,5.47,2.47,4.47,3.33,4.07,3.80,4.93,1.67
1,-7.00,2.00,3.50,2.00,3.50,4.00,2.00,3.50,4.00,6.00,4.00,2.00,2.50,1.00,4.00,3.00,1.00,2.50,5.00,3.00,4.50,6.00,5.00,3.00,4.50,3.00,5.00,5.00
1,-7.00,3.00,2.25,2.25,3.50,6.00,4.50,4.75,2.25,2.00,2.50,4.75,2.25,5.00,4.75,1.00,2.25,4.50,4.00,2.25,2.50,4.75,2.25,4.50,4.75,4.75,2.50,4.75
1,-4.42,1.26,1.84,1.63,2.21,2.53,2.00,2.58,2.89,1.58,1.79,1.63,3.42,2.84,1.42,1.89,3.21,3.05,3.16,3.00,1.37,1.21,2.79,2.63,1.00,1.53,2.42,2.79
4,-7.00,5.00,1.75,5.00,3.50,3.00,5.00,5.25,3.00,1.00,3.00,5.00,1.00,6.00,3.00,4.00,6.00,1.00,2.00,4.00,6.00,1.00,2.00,4.00,6.00,4.00,2.00,2.00
1,-9.33,5.33,2.33,3.00,4.67,1.33,5.33,7.00,3.67,6.67,6.00,3.00,4.33,2.67,8.33,8.00,5.00,2.00,4.00,1.00,7.33,4.33,6.33,3.33,5.00,5.67,4.00,6.33
2,-6.46,3.38,1.62,5.00,3.23,2.46,4.46,4.85,1.92,1.54,3.54,3.92,1.00,4.92,3.00,4.00,4.38,2.62,3.08,3.46,3.85,2.08,2.54,2.92,5.46,4.54,2.00,1.46
1,-4.67,1.11,2.33,3.44,2.33,2.22,2.67,2.33,1.44,3.33,2.22,3.44,2.56,1.33,1.44,2.44,3.67,1.78,3.56,3.22,2.89,1.00,1.22,2.44,2.11,3.22,2.00,1.22
1,-7.00,3.00,3.50,3.00,3.50,6.00,3.00,3.50,2.50,2.00,2.50,4.75,2.00,5.00,4.25,1.00,1.50,2.00,4.00,2.75,5.00,5.50,2.25,4.50,5.00,4.50,4.00,4.00
1,-5.60,2.40,4.20,1.00,2.80,2.56,4.08,1.40,3.40,1.60,2.00,3.80,3.56,4.00,3.40,3.04,2.60,4.40,3.20,2.20,1.20,3.00,1.80,3.60,2.04,2.20,1.52,4.60
1,-7.00,4.00,1.75,5.75,3.50,1.00,4.00,5.25,2.75,5.00,4.50,2.25,1.50,2.00,4.50,6.00,3.75,1.50,3.00,2.50,5.50,3.25,4.75,2.50,5.50,4.25,3.00,1.25
4,-14.00,6.00,7.00,6.00,7.00,12.00,6.00,7.00,5.00,4.00,12.00,13.00,11.00,10.00,5.00,2.00,3.00,4.00,8.00,9.00,10.00,11.00,1.00,2.00,3.00,9.00,8.00,8.00
1,-4.00,2.67,1.67,3.00,2.00,2.67,2.00,2.33,3.00,2.67,2.00,1.00,3.00,1.33,2.33,1.33,3.00,2.00,1.33,1.67,2.00,1.00,3.00,2.00,1.00,1.00,2.00,1.00
1,-7.00,6.00,3.50,2.50,3.50,5.00,6.00,3.50,1.50,4.00,5.00,2.50,4.00,3.00,5.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,4.50,2.00,3.00,5.50,1.00,4.50
1,-7.64,1.82,1.91,3.73,3.82,3.64,5.64,5.73,3.00,2.91,4.91,2.45,4.82,4.73,1.73,4.00,6.64,4.18,5.82,5.91,3.45,1.00,5.18,2.73,2.82,4.64,2.00,3.91
1,-7.00,3.00,1.75,3.00,3.50,6.00,3.00,5.25,6.00,2.00,6.00,3.00,2.00,5.00,6.00,1.00,5.00,2.00,4.00,1.00,5.00,2.00,4.00,1.00,5.00,1.00,4.00,4.00
1,-6.09,3.83,3.96,1.70,3.04,4.00,2.00,2.13,3.09,4.17,3.39,4.74,3.26,1.91,2.48,2.09,1.00,1.13,2.26,3.61,4.96,5.09,1.35,2.70,2.83,3.00,4.09,4.39
4,-14.00,12.00,7.00,5.00,7.00,10.00,12.00,7.00,3.00,8.00,10.00,5.00,1.00,6.00,3.00,4.00,6.00,8.00,2.00,11.00,6.00,8.00,9.00,4.00,13.00,11.00,2.00,9.00
1,-5.60,2.00,1.40,2.00,2.80,2.60,2.00,4.20,4.00,4.60,2.60,2.00,4.60,1.00,2.60,3.00,2.40,3.20,3.60,3.00,2.40,3.20,3.60,3.00,1.00,1.60,3.60,3.60
1,-7.00,3.00,5.25,4.75,3.50,6.00,3.00,1.75,4.25,2.00,2.50,4.75,3.75,5.00,4.25,1.00,3.25,5.50,4.00,2.75,1.50,3.75,2.25,4.50,3.25,2.75,4.00,2.25
1,-5.09,1.82,3.18,2.45,2.55,1.09,3.09,1.91,1.73,2.91,2.36,3.73,1.00,2.18,3.00,4.00,1.55,1.64,3.27,2.09,3.45,3.55,1.36,2.73,4.09,3.36,2.00,2.64
1,-3.00,1.00,2.00,1.00,1.50,1.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00
1,-9.33,2.67,5.44,5.00,4.67,5.33,7.33,3.89,3.00,4.89,6.89,3.44,1.00,4.44,3.00,4.00,3.67,3.33,6.67,6.33,6.00,5.67,5.89,2.44,8.33,6.33,2.00,4.33
1,-6.22,2.22,3.89,3.00,3.11,4.44,2.22,2.33,5.22,3.56,2.89,4.56,4.33,2.67,2.11,1.78,3.44,2.00,4.00,4.11,4.22,2.78,1.67,3.33,1.89,1.00,4.00,3.22
7,-14.00,2.00,7.00,9.00,7.00,4.00,2.00,7.00,11.00,6.00,4.00,9.00,6.00,8.00,11.00,10.00,1.00,6.00,12.00,3.00,8.00,13.00,5.00,10.00,8.00,3.00,12.00,5.00
1,-9.33,8.00,2.33,1.00,4.67,6.67,3.33,7.00,6.67,5.33,2.00,5.67,7.67,4.00,4.33,2.67,6.33,5.33,1.33,5.00,4.00,3.00,3.67,7.33,1.67,2.67,6.00,8.33
1,-3.00,2.00,1.00,1.00,1.50,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00
1,-9.33,3.33,2.33,5.67,4.67,6.67,3.33,7.00,4.33,5.33,2.00,1.00,3.00,4.00,4.33,2.67,6.33,5.33,6.00,5.00,4.00,3.00,8.33,7.33,6.33,5.00,6.00,3.67
1,-4.38,2.00,3.28,1.34,2.19,1.38,2.00,1.09,1.38,3.38,2.69,2.00,2.72,1.00,2.03,3.00,1.00,1.63,2.38,2.34,2.75,3.38,2.38,1.69,1.66,3.00,2.38,3.03
3,-7.00,5.00,3.50,1.50,3.50,3.00,5.00,3.50,3.00,1.00,3.00,5.00,1.00,6.00,3.00,4.00,2.50,4.50,2.00,4.00,2.50,4.50,2.00,4.00,6.00,4.00,2.00,5.50
9,-14.00,2.00,7.00,9.00,7.00,4.00,2.00,7.00,11.00,6.00,4.00,9.00,13.00,8.00,11.00,10.00,1.00,6.00,12.00,3.00,8.00,13.00,5.00,10.00,1.00,3.00,12.00,5.00
1,-7.00,3.00,5.25,3.58,3.50,6.00,4.17,1.75,4.25,2.00,4.83,2.42,2.58,5.00,5.42,1.00,5.58,3.17,4.00,1.58,3.83,1.42,4.58,2.17,4.42,2.75,2.83,3.42
5,-14.00,10.00,10.50,6.50,7.00,6.00,3.00,3.50,2.50,2.00,13.00,6.50,5.50,12.00,9.50,8.00,8.50,9.00,4.00,4.50,5.00,5.50,7.50,1.00,8.50,11.50,11.00,7.50
15,-14.00,4.00,7.00,11.00,7.00,8.00,4.00,7.00,1.00,12.00,8.00,11.00,5.00,2.00,1.00,6.00,9.00,12.00,10.00,13.00,2.00,5.00,3.00,6.00,9.00,13.00,10.00,3.00
1,-7.00,5.00,5.25,5.00,3.50,3.00,5.00,1.75,3.00,1.00,3.00,5.00,1.00,6.00,3.00,4.00,6.00,2.75,2.00,4.00,4.25,1.00,2.00,4.00,6.00,4.00,2.00,2.00
1,-7.64,4.00,5.73,4.64,3.82,2.91,5.27,1.91,1.00,4.36,1.64,3.36,5.00,3.27,4.82,4.73,3.91,5.64,3.64,2.82,2.00,3.73,4.27,6.00,2.64,6.64,2.36,3.00
1,-7.00,2.00,3.50,5.50,3.50,4.00,2.00,3.50,4.00,6.00,4.00,2.00,6.00,1.00,4.00,3.00,4.50,2.50,5.00,3.00,4.50,2.50,5.00,3.00,1.00,3.00,5.00,1.50
1,-5.60,3.20,2.10,2.50,2.80,3.60,4.60,3.50,2.90,1.20,2.20,1.10,3.30,4.40,1.50,2.00,3.70,2.60,2.40,4.10,3.00,1.90,4.50,3.40,2.30,2.70,1.00,3.10
1,-14.00,8.00,7.00,8.00,7.00,9.00,8.00,7.00,9.00,10.00,2.00,1.00,3.00,4.00,9.00,5.00,4.00,10.00,6.00,5.00,4.00,10.00,13.00,12.00,11.00,5.00,6.00,6.00
1,-3.00,1.00,2.00,1.00,1.50,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00
1,-4.00,2.00,1.00,3.00,2.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,1.00,2.00,3.00,3.00,2.00,1.00
1,-7.00,3.00,3.50,3.00,3.50,6.00,3.00,3.50,2.50,2.00,2.50,4.75,5.50,5.00,2.50,1.00,1.50,2.00,4.00,4.50,5.00,5.50,2.25,4.50,1.50,4.50,4.00,4.00
1,-7.00,3.00,3.50,3.00,3.50,6.00,3.00,3.50,2.50,2.00,6.00,3.00,2.00,5.00,6.00,1.00,5.00,2.00,4.00,1.00,5.00,2.00,4.00,1.00,5.00,4.50,4.00,4.00
1,-4.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,1.00
1,-14.00,4.00,3.50,7.50,7.00,8.00,11.00,10.50,4.50,12.00,1.00,7.50,8.50,2.00,4.50,6.00,5.50,5.00,10.00,9.50,9.00,8.50,6.50,13.00,5.50,9.50,3.00,6.50
1,-7.00,6.00,3.50,2.50,3.50,5.00,2.50,3.50,1.50,4.00,5.00,2.50,2.25,3.00,5.00,2.00,3.00,4.00,1.00,2.00,3.00,4.00,4.50,2.00,4.75,5.50,4.50,4.50
1,-7.00,4.00,3.50,4.00,3.50,1.00,4.00,3.50,4.50,5.00,4.50,4.00,1.50,2.00,4.50,6.00,5.50,1.50,3.00,2.50,5.50,1.50,3.00,2.50,5.50,2.50,3.00,3.00
1,-5.60,2.56,4.20,3.40,2.80,4.00,2.00,1.40,2.60,3.20,1.20,3.40,1.80,2.40,2.04,1.60,1.00,1.52,3.04,3.56,4.08,4.60,2.20,4.40,3.80,3.00,3.60,2.20
1,-4.38,1.63,1.75,3.38,2.19,1.50,2.50,2.63,1.50,1.38,2.38,1.63,3.13,3.00,1.50,2.88,3.00,1.38,2.75,2.88,3.00,1.38,2.75,2.00,1.25,2.88,1.88,1.00
2,-9.33,4.00,2.33,6.33,4.67,8.00,4.00,7.00,1.00,2.67,3.33,1.67,5.00,6.67,5.67,1.33,6.67,7.33,5.33,3.67,2.00,2.67,7.67,6.00,4.33,8.33,5.33,3.00
1,-4.67,3.00,3.50,3.00,2.33,3.67,1.83,1.17,3.67,2.00,3.67,3.00,2.00,2.67,3.67,1.00,2.67,2.00,1.67,1.00,2.67,2.00,1.67,1.00,2.67,1.00,2.83,1.67
1,-7.00,4.00,5.25,4.00,3.50,1.00,4.00,1.75,1.00,5.00,1.00,4.00,5.00,2.00,2.75,6.00,2.00,5.00,3.00,4.25,2.00,5.00,3.00,6.00,2.00,6.00,3.00,3.00
4,-7.00,4.00,5.25,4.00,3.50,1.00,4.00,1.75,1.00,5.00,1.00,4.00,5.00,2.00,1.00,6.00,2.00,5.00,3.00,6.00,2.00,5.00,3.00,6.00,2.00,6.00,3.00,3.00
2,-14.00,10.00,7.00,10.00,7.00,6.00,10.00,7.00,6.00,9.00,6.00,3.00,9.00,5.00,13.00,8.00,5.00,2.00,4.00,1.00,12.00,9.00,11.00,8.00,5.00,8.00,4.00,4.00
2,-14.00,6.00,3.50,9.50,7.00,12.00,13.00,10.50,8.50,4.00,5.00,9.50,7.50,10.00,8.50,2.00,6.50,11.00,8.00,5.50,3.00,7.50,4.50,9.00,6.50,5.50,1.00,4.50
1,-3.00,2.00,2.00,2.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00
12,-28.00,24.00,21.00,17.00,14.00,20.00,10.00,7.00,13.00,16.00,6.00,3.00,9.00,12.00,27.00,8.00,5.00,2.00,4.00,1.00,26.00,23.00,25.00,22.00,19.00,15.00,18.00,11.00
4,-7.00,5.00,3.50,5.00,3.50,3.00,5.00,3.50,3.00,1.00,3.00,5.00,4.50,6.00,3.00,4.00,6.00,1.00,2.00,4.00,6.00,1.00,2.00,4.00,2.50,4.00,2.00,2.00
1,-4.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,3.00,3.00,1.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,3.00
2,-7.00,5.00,3.50,5.00,3.50,3.00,5.00,3.50,3.00,1.00,3.00,1.50,4.50,6.00,3.00,4.00,2.50,1.00,2.00,4.00,6.00,4.50,5.50,4.00,2.50,4.00,2.00,2.00
3,-7.00,5.00,5.25,5.00,3.50,3.00,5.00,1.75,3.00,1.00,3.00,5.00,1.00,6.00,3.00,4.00,6.00,1.00,2.00,4.00,6.00,1.00,2.00,4.00,6.00,4.00,2.00,2.00
1,-9.33,5.33,2.33,4.56,4.67,7.56,3.78,7.00,3.67,3.56,6.00,3.00,2.78,5.78,8.33,1.78,5.00,2.00,4.00,1.00,7.33,4.33,6.33,3.33,6.56,5.67,5.56,4.78
1,-8.00,4.00,5.00,1.00,4.00,4.00,6.00,3.00,5.00,4.00,2.00,3.00,5.00,4.00,3.00,4.00,5.00,2.00,4.00,5.00,6.00,3.00,5.00,6.00,3.00,3.00,2.00,7.00
1,-9.33,2.67,2.33,5.00,4.67,5.33,7.33,7.00,5.33,8.00,5.33,2.67,1.00,1.33,3.00,4.00,3.67,3.33,6.67,6.33,6.00,5.67,6.67,4.00,8.33,4.00,2.00,4.33
1,-5.60,2.40,1.40,1.93,2.80,2.93,3.33,4.20,3.40,1.60,2.00,1.00,3.00,4.00,3.40,2.67,1.67,4.40,3.20,2.20,1.20,3.93,4.60,3.60,2.60,2.20,2.27,3.67
1,-4.00,2.67,1.00,1.00,2.00,1.33,2.00,3.00,1.00,1.33,2.00,1.67,2.33,2.67,3.00,2.67,1.00,2.00,1.33,1.00,2.00,3.00,2.33,2.00,1.67,3.00,2.00,3.00
