count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22
1,-8.00,5.33,3.00,2.67,5.13,6.00,4.07,3.33,1.00,2.27,6.33,4.00,3.67,4.53,7.00,3.47,4.33,2.00,1.67,5.73,5.00,4.67,3.93,2.87
3,-8.00,5.33,1.00,2.67,3.67,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,6.00,7.00,4.33
3,-6.00,2.00,3.00,4.00,5.00,3.00,1.00,2.00,3.00,4.00,2.00,3.00,1.00,2.00,3.00,4.00,5.00,3.00,4.00,2.00,3.00,4.00,5.00,1.00
1,-8.00,2.67,5.00,5.33,5.00,2.00,2.33,2.00,4.33,4.67,7.00,4.00,1.67,4.00,3.67,4.00,6.33,6.00,1.00,3.33,3.00,6.00,5.67,3.00
1,-6.00,2.00,1.50,4.00,3.50,3.00,2.50,5.00,4.50,1.00,3.50,3.00,2.50,2.00,1.50,4.00,3.50,3.00,2.50,5.00,4.50,1.00,3.50,2.50
1,-4.00,2.67,1.50,1.33,1.17,1.00,2.83,2.67,2.50,1.33,2.17,2.00,1.33,2.67,1.50,1.33,2.67,3.00,1.83,2.67,2.50,1.33,1.17,2.83
1,-6.00,2.00,4.50,4.00,4.50,3.00,3.50,3.00,1.50,3.00,1.50,3.00,1.50,5.00,4.50,1.00,4.50,3.00,4.50,3.00,1.50,3.00,2.50,1.50
1,-8.00,4.00,5.00,4.00,5.00,2.00,1.00,2.00,3.00,6.00,7.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,1.00,2.00,3.00,6.00,7.00,3.00
1,-6.00,4.00,2.25,2.00,3.25,4.50,1.25,2.50,3.75,3.50,1.75,3.00,4.25,1.00,2.25,5.00,1.75,1.50,4.25,2.50,3.75,3.50,4.75,2.75
1,-4.36,2.91,3.00,1.45,1.55,3.27,1.73,2.36,1.91,3.09,1.00,2.18,1.73,1.82,2.45,2.55,2.64,1.09,3.36,1.27,1.36,2.00,2.64,2.82
