count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22
1,-6.00,4.00,3.00,2.00,2.50,4.50,5.00,4.00,3.00,2.00,1.00,3.00,3.50,2.50,3.00,3.50,2.50,1.50,5.00,4.00,3.00,2.00,1.00,3.50
2,-8.00,5.33,5.00,2.67,6.33,2.00,3.67,3.33,7.00,4.67,4.33,4.00,1.67,5.33,1.00,2.67,6.33,6.00,3.67,3.33,3.00,4.67,4.33,1.67
1,-8.00,2.67,1.00,5.33,2.67,2.00,5.33,2.67,3.00,5.33,2.67,4.00,4.33,2.67,5.00,5.33,3.67,6.00,5.33,2.67,7.00,5.33,2.67,5.33
6,-6.00,4.00,3.00,2.00,1.00,4.50,5.00,4.00,3.00,2.00,1.00,3.00,5.00,4.00,3.00,2.00,1.00,1.50,5.00,4.00,3.00,2.00,1.00,5.00
1,-8.00,4.00,5.00,4.00,5.00,2.00,3.00,6.00,7.00,2.00,5.00,4.00,3.00,4.00,1.00,4.00,5.00,6.00,3.00,6.00,3.00,2.00,5.00,3.00
1,-6.00,4.00,2.55,2.00,1.75,2.70,4.55,3.10,1.65,3.50,4.45,3.00,2.45,1.00,4.35,5.00,3.55,3.30,1.55,2.50,3.45,2.90,1.45,4.25
1,-8.00,4.44,3.00,3.56,4.78,6.00,3.89,5.11,1.00,4.22,5.44,4.00,1.89,5.78,7.00,2.22,6.11,2.00,2.56,3.78,5.00,2.89,4.11,3.22
1,-8.00,3.67,3.00,4.33,2.67,6.00,5.33,2.67,1.00,5.33,2.67,4.00,5.33,2.67,7.00,5.33,2.67,2.00,5.33,2.67,5.00,5.33,2.67,5.33
3,-12.00,8.00,9.00,4.00,5.00,6.00,7.00,2.00,3.00,10.00,11.00,6.00,7.00,8.00,9.00,4.00,5.00,6.00,1.00,2.00,3.00,10.00,5.00,7.00
1,-8.00,5.33,5.00,2.67,5.00,4.67,5.00,2.00,5.67,2.00,3.00,4.00,7.00,4.00,2.33,4.00,1.00,3.33,5.00,6.00,3.00,6.00,3.00,3.00
10,-12.00,8.00,4.50,4.00,6.50,9.00,8.50,5.00,1.50,1.00,9.50,6.00,5.50,2.00,10.50,10.00,6.50,3.00,2.50,11.00,7.50,7.00,3.50,5.50
1,-3.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.50,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00
1,-4.80,3.20,2.20,1.60,3.80,1.20,2.20,1.20,1.80,2.80,1.80,2.40,3.40,2.40,3.00,2.40,1.40,3.60,3.00,2.00,2.60,3.60,2.60,1.00
1,-6.00,2.00,3.75,4.00,1.25,4.50,3.25,3.50,3.75,2.50,1.25,3.00,1.75,5.00,2.25,1.00,4.25,1.50,4.75,3.50,2.25,2.50,2.75,4.75
1,-6.00,2.00,4.50,4.00,3.50,3.00,2.50,5.00,4.50,1.00,3.50,3.00,2.50,2.00,1.50,4.00,3.50,3.00,2.50,5.00,1.50,1.00,3.50,2.50
1,-4.00,2.67,2.50,1.33,2.67,1.00,2.33,2.67,3.00,1.33,2.67,2.00,1.33,2.67,1.00,1.33,2.67,3.00,1.33,2.67,1.50,1.33,1.67,1.33
1,-6.00,4.00,2.25,2.00,2.25,2.50,2.25,2.50,4.75,2.50,4.75,3.00,4.75,1.00,1.25,5.00,1.25,3.50,1.25,3.50,3.75,3.50,3.75,3.75
1,-12.00,8.00,3.00,4.00,11.00,6.00,7.00,8.00,9.00,10.00,5.00,6.00,7.00,8.00,3.00,4.00,5.00,6.00,7.00,2.00,9.00,4.00,5.00,1.00
1,-4.00,2.67,1.50,1.33,2.17,3.00,1.50,3.00,1.17,3.00,2.50,2.00,2.50,2.00,2.83,2.00,1.50,1.00,1.50,1.00,2.50,1.00,2.50,1.83
1,-8.00,5.33,3.67,2.67,1.00,2.00,6.33,4.67,3.00,2.00,3.00,4.00,5.67,4.00,5.00,4.00,2.33,6.00,5.00,6.00,4.33,3.33,1.67,7.00
1,-6.00,2.00,3.00,4.00,1.00,4.00,3.00,2.00,3.00,2.00,5.00,3.00,2.00,2.00,3.00,4.00,4.00,2.00,1.00,4.00,3.00,4.00,3.00,5.00
2,-8.00,2.67,3.00,5.33,3.00,6.00,3.00,6.00,1.00,6.00,3.67,4.00,1.00,4.00,7.00,4.00,7.00,2.00,4.33,2.00,5.00,2.00,5.00,5.00
1,-8.00,5.33,3.00,2.67,4.33,6.00,5.67,3.33,1.00,4.67,2.33,4.00,3.67,1.33,7.00,6.67,4.33,2.00,5.67,3.33,5.00,4.67,2.33,3.67
2,-5.33,1.78,3.00,3.56,2.11,3.33,3.89,2.44,1.00,4.22,2.78,2.67,1.89,3.11,4.33,2.22,3.44,2.00,2.56,1.11,2.33,2.89,1.44,3.22
1,-8.00,5.33,1.00,2.67,6.33,2.00,3.67,5.33,3.00,4.67,4.33,4.00,5.67,5.33,5.00,2.67,2.33,6.00,3.67,3.33,7.00,2.67,4.33,1.67
1,-6.00,2.00,3.75,4.00,1.25,1.50,1.75,3.50,3.75,2.50,1.25,3.00,3.25,5.00,2.25,1.00,2.75,4.50,4.75,3.50,2.25,2.50,4.25,4.75
1,-8.00,4.00,1.00,4.00,5.00,2.00,5.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,6.00,3.00,3.00
1,-6.00,2.00,2.00,4.00,4.00,4.00,1.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,3.00,4.00,4.00,2.00,4.00,4.00,4.00,4.00,5.00,2.00
1,-6.00,2.00,1.25,4.00,1.25,2.50,3.25,2.50,3.75,2.50,3.75,3.00,3.75,5.00,2.25,1.00,2.25,3.50,2.25,3.50,4.75,3.50,2.75,4.75
1,-4.00,1.67,1.00,2.33,2.67,2.00,2.33,2.67,3.00,1.33,2.67,2.00,1.33,2.67,1.00,1.33,2.67,2.00,1.33,2.67,3.00,1.33,1.67,1.33
1,-4.80,1.60,2.60,3.20,2.60,3.60,1.00,2.00,3.00,3.60,1.40,2.40,1.40,2.40,1.80,2.40,3.40,1.20,3.40,1.20,2.20,2.80,3.80,2.20
1,-6.55,4.36,3.00,2.18,1.55,1.64,2.27,4.55,2.45,3.09,1.00,3.27,3.91,4.00,4.09,2.55,2.64,4.91,5.55,3.45,3.55,2.00,4.27,5.00
3,-8.00,5.33,3.00,2.67,5.67,6.00,5.67,3.33,1.00,3.33,6.33,4.00,3.67,1.33,7.00,6.67,4.33,2.00,1.67,4.67,5.00,4.67,2.33,2.33
1,-4.80,3.20,1.80,1.60,2.60,3.60,1.00,2.00,3.00,2.80,1.40,2.40,2.20,3.20,1.80,1.60,2.60,1.20,3.40,2.00,3.00,2.80,3.80,2.20
29,-24.00,8.00,3.00,16.00,11.00,6.00,19.00,14.00,9.00,22.00,17.00,12.00,1.00,20.00,15.00,4.00,23.00,18.00,7.00,2.00,21.00,10.00,5.00,13.00
1,-3.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,1.50,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00
1,-8.00,2.67,1.00,5.33,2.33,2.00,5.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,6.00,3.00,5.67
1,-4.00,2.67,1.00,1.33,1.00,2.00,2.33,2.00,3.00,2.00,3.00,2.00,3.00,2.67,1.00,1.33,1.00,2.00,1.00,2.00,3.00,2.00,1.67,3.00
1,-12.00,4.00,3.00,8.00,7.00,6.00,11.00,10.00,9.00,8.00,7.00,6.00,5.00,4.00,3.00,8.00,7.00,6.00,5.00,4.00,9.00,2.00,1.00,5.00
3,-8.00,5.33,5.00,2.67,2.33,2.00,5.67,3.33,7.00,4.67,4.33,4.00,1.67,1.33,1.00,6.67,6.33,6.00,3.67,3.33,3.00,4.67,2.33,5.67
1,-8.00,5.33,1.00,2.67,2.33,2.00,3.67,3.33,3.00,4.67,2.33,4.00,5.67,3.33,5.00,4.67,2.33,6.00,5.67,3.33,7.00,4.67,4.33,5.67
1,-8.00,4.00,5.00,4.00,5.00,2.00,5.00,2.00,3.00,2.00,7.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,1.00,6.00,3.00,6.00,3.00,3.00
1,-8.00,4.00,5.00,4.00,3.00,2.00,5.00,6.00,3.00,2.00,5.00,4.00,7.00,4.00,5.00,4.00,1.00,6.00,3.00,6.00,3.00,2.00,3.00,5.00
2,-8.00,5.33,7.00,2.67,4.33,6.00,1.67,3.33,5.00,3.33,2.33,4.00,2.33,1.33,3.00,6.67,5.67,2.00,5.67,4.67,1.00,4.67,6.33,3.67
1,-8.00,5.33,7.00,2.67,5.33,6.00,2.67,5.33,5.00,2.67,5.33,4.00,3.67,5.33,3.00,2.67,4.33,2.00,2.67,5.33,1.00,2.67,5.33,2.67
3,-12.00,4.00,9.00,8.00,7.00,6.00,5.00,4.00,3.00,2.00,7.00,6.00,11.00,4.00,9.00,8.00,1.00,6.00,5.00,10.00,3.00,8.00,7.00,5.00
6,-12.00,4.00,4.50,8.00,8.50,9.00,6.50,1.00,1.50,5.00,5.50,6.00,9.50,10.00,10.50,2.00,2.50,3.00,6.50,7.00,7.50,11.00,5.50,3.50
1,-4.80,2.13,3.80,2.67,1.13,2.80,1.67,3.33,3.40,2.27,2.33,2.40,1.27,1.33,1.40,3.47,3.53,2.00,2.47,2.53,1.00,1.47,3.13,3.67
2,-6.00,2.00,3.00,4.00,5.00,3.00,4.00,2.00,3.00,4.00,5.00,3.00,1.00,2.00,3.00,4.00,5.00,3.00,1.00,2.00,3.00,4.00,2.00,1.00
6,-8.00,2.67,5.00,5.33,5.00,2.00,5.00,2.00,7.00,2.00,7.00,4.00,7.00,4.00,1.00,4.00,1.00,6.00,1.00,6.00,3.00,6.00,3.00,3.00
1,-6.00,2.00,2.25,4.00,2.75,1.50,4.75,3.50,2.25,2.50,4.25,3.00,4.75,5.00,3.75,1.00,1.25,4.50,1.75,3.50,3.75,2.50,1.25,3.25
1,-8.00,4.00,3.00,4.00,7.00,6.00,3.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,5.00,2.00,5.00,1.00
1,-5.33,3.56,4.33,1.78,2.56,3.33,3.44,1.56,3.67,2.44,1.89,2.67,4.11,2.22,1.67,3.11,1.22,2.00,3.44,2.89,1.00,3.78,1.89,2.78
18,-12.00,8.00,9.00,4.00,5.00,6.00,1.00,2.00,3.00,10.00,11.00,6.00,7.00,8.00,9.00,4.00,5.00,6.00,1.00,2.00,3.00,10.00,11.00,7.00
1,-6.00,2.00,3.00,4.00,2.00,3.00,4.00,2.00,3.00,1.00,2.00,3.00,4.00,2.00,3.00,4.00,2.00,3.00,4.00,5.00,3.00,4.00,2.00,4.00
1,-4.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,1.00,2.00,3.00,1.00
1,-8.00,2.67,7.00,5.33,4.33,6.00,7.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,3.67
1,-4.80,1.60,1.00,3.20,2.60,2.00,2.60,2.00,1.40,3.60,1.40,2.40,1.40,2.40,3.40,2.40,3.40,2.80,3.40,1.20,3.80,2.80,2.20,2.20
1,-6.00,4.00,3.00,2.00,3.00,2.00,3.00,2.00,5.00,2.00,5.00,3.00,5.00,4.00,1.00,2.00,1.00,4.00,1.00,4.00,3.00,4.00,3.00,3.00
1,-6.00,4.00,1.25,2.00,3.25,2.50,1.25,2.50,3.75,2.50,1.75,3.00,3.75,1.00,2.25,5.00,2.25,3.50,4.25,3.50,4.75,3.50,4.75,2.75
1,-6.00,4.00,3.00,2.00,5.00,2.00,3.00,2.00,3.00,4.00,5.00,3.00,3.00,2.00,3.00,4.00,3.00,4.00,1.00,2.00,3.00,4.00,3.00,1.00
1,-8.00,2.67,7.00,5.33,2.67,6.00,5.33,2.67,5.00,5.33,2.67,4.00,5.33,2.67,3.00,5.33,2.67,2.00,5.33,2.67,1.00,5.33,2.67,5.33
1,-6.00,4.00,4.50,2.00,3.50,3.00,3.50,4.00,1.50,3.00,2.50,3.00,1.50,1.00,4.50,5.00,4.50,3.00,3.50,3.00,1.50,2.00,2.50,2.50
1,-4.80,3.20,3.00,1.60,3.80,3.60,3.80,2.80,1.80,2.80,2.60,2.40,3.40,3.20,3.00,1.60,1.40,1.20,2.20,2.00,1.80,2.00,1.00,1.00
1,-4.00,1.33,2.33,2.67,1.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,3.00,1.33,1.00,2.67,1.00,2.00,1.00,2.00,1.67,2.00,3.00,3.00
1,-6.00,4.00,2.25,2.00,3.25,1.50,1.25,2.50,3.75,3.50,4.75,3.00,2.75,1.00,2.25,5.00,3.25,4.50,1.25,2.50,3.75,3.50,4.75,2.75
1,-8.00,2.67,4.33,5.33,7.00,6.00,1.67,3.33,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,3.67,4.67,6.33,1.00
1,-8.00,5.33,5.00,2.67,5.00,2.00,5.00,2.00,7.00,2.00,5.67,4.00,3.00,4.00,1.00,4.00,5.00,6.00,2.33,6.00,3.00,6.00,3.00,3.00
1,-8.00,2.67,5.00,5.33,2.67,2.00,5.33,2.67,7.00,5.33,2.67,4.00,5.33,2.67,1.00,5.33,2.67,6.00,5.33,2.67,3.00,5.33,2.67,5.33
1,-4.80,1.60,3.00,3.20,1.40,1.20,3.00,1.20,2.60,2.80,2.60,2.40,1.00,2.40,2.20,2.40,3.80,3.60,2.20,2.00,1.80,3.60,1.80,3.40
1,-8.00,4.00,3.00,4.00,3.00,6.00,5.00,6.00,5.00,2.00,1.00,4.00,3.00,4.00,3.00,4.00,5.00,2.00,7.00,6.00,5.00,2.00,3.00,5.00
1,-3.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.50,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00
1,-6.00,2.00,2.25,4.00,1.25,1.50,3.25,3.50,3.75,2.50,2.75,3.00,1.75,5.00,2.25,1.00,4.25,4.50,3.25,3.50,3.75,2.50,2.75,4.75
12,-12.00,4.00,9.00,8.00,1.00,6.00,5.00,10.00,3.00,2.00,7.00,6.00,11.00,4.00,9.00,8.00,1.00,6.00,5.00,10.00,3.00,2.00,7.00,11.00
5,-12.00,8.00,4.50,4.00,6.50,9.00,2.50,5.00,7.50,1.00,3.50,6.00,5.50,2.00,4.50,10.00,6.50,3.00,8.50,11.00,7.50,7.00,9.50,5.50
1,-6.00,4.00,4.50,2.00,2.50,3.00,2.50,5.00,1.50,3.00,3.50,3.00,1.50,2.00,4.50,4.00,4.50,3.00,2.50,3.00,1.50,1.00,3.50,3.50
1,-4.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,3.00,2.00,1.00,2.00,3.00,2.00,1.00,1.00
1,-6.00,2.00,3.75,4.00,1.25,3.00,1.75,3.50,3.75,2.50,4.25,3.00,3.25,5.00,2.25,1.00,2.75,3.00,1.75,3.50,2.25,2.50,4.25,4.75
1,-8.00,2.67,1.00,5.33,3.67,2.00,2.90,4.67,3.00,2.76,5.67,4.00,2.62,5.52,5.00,2.48,5.38,6.00,2.33,5.24,7.00,3.33,5.10,4.33
1,-4.00,2.67,1.50,1.33,1.17,3.00,2.83,1.67,1.50,2.33,1.17,2.00,2.83,1.67,2.50,2.33,1.17,1.00,2.83,1.67,2.50,2.33,1.17,2.83
1,-6.00,4.00,3.75,2.00,4.75,1.50,2.75,2.50,2.25,3.50,1.75,3.00,4.25,1.00,3.75,5.00,1.75,4.50,4.25,2.50,2.25,3.50,3.25,1.25
1,-4.80,3.20,3.30,1.60,1.70,1.80,2.50,2.60,2.70,1.00,1.10,2.40,1.90,2.00,2.10,2.80,2.90,3.00,3.70,3.80,1.50,2.20,2.30,3.10
1,-6.00,2.00,3.00,4.00,3.00,4.00,3.00,4.00,1.00,4.00,1.00,3.00,1.00,2.00,5.00,4.00,5.00,2.00,5.00,2.00,3.00,2.00,3.00,3.00
1,-4.00,2.67,2.50,1.33,2.50,1.00,1.17,1.00,1.50,1.00,2.17,2.00,1.50,2.00,2.50,2.00,2.50,3.00,1.83,3.00,1.50,3.00,2.83,1.50
2,-6.32,2.11,3.32,4.21,2.89,1.58,5.00,3.68,2.37,2.00,4.47,3.16,5.32,4.00,3.95,2.32,1.00,4.74,1.84,4.32,3.00,2.63,1.32,3.42
1,-4.00,2.67,2.50,1.33,1.67,1.00,1.33,2.67,3.00,1.33,2.67,2.00,1.33,2.67,1.00,1.33,2.67,3.00,1.33,2.67,1.50,1.33,2.67,2.33
1,-8.00,2.67,5.00,5.33,5.00,2.00,5.00,2.00,3.00,2.00,4.33,4.00,7.00,4.00,5.00,4.00,1.00,6.00,3.67,6.00,3.00,6.00,3.00,3.00
2,-8.00,2.67,7.00,5.33,4.33,6.00,4.33,3.33,5.00,3.33,2.33,4.00,2.33,6.67,3.00,1.33,5.67,2.00,5.67,4.67,1.00,4.67,3.67,3.67
3,-8.00,5.33,7.00,2.67,4.33,6.00,5.67,3.33,5.00,4.67,2.33,4.00,3.67,1.33,3.00,6.67,4.33,2.00,5.67,3.33,1.00,4.67,2.33,3.67
1,-4.80,2.80,1.80,2.00,1.00,3.60,2.60,2.80,1.80,2.00,1.00,2.40,3.80,2.80,3.00,2.00,1.00,1.20,3.80,2.80,3.00,2.00,2.20,3.80
3,-6.00,2.00,3.00,4.00,5.00,1.50,1.00,2.00,3.00,4.00,5.00,3.00,1.00,2.00,3.00,4.00,5.00,4.50,1.00,2.00,3.00,4.00,5.00,1.00
21,-24.00,16.00,3.00,8.00,19.00,6.00,11.00,22.00,9.00,14.00,1.00,12.00,17.00,4.00,15.00,20.00,7.00,18.00,23.00,10.00,21.00,2.00,13.00,5.00
1,-4.00,1.33,1.00,2.67,2.33,2.00,2.67,1.33,3.00,2.67,1.33,2.00,1.67,1.33,1.00,2.67,2.33,2.00,2.67,1.33,3.00,2.67,1.33,1.67
1,-6.00,2.00,2.25,4.00,2.75,1.50,4.75,3.50,2.25,2.50,2.75,3.00,4.75,5.00,3.75,1.00,1.25,4.50,3.25,3.50,3.75,2.50,1.25,3.25
1,-8.00,5.33,3.00,2.67,3.00,6.00,5.67,3.33,1.00,6.00,6.33,4.00,3.67,4.00,7.00,4.00,4.33,2.00,1.67,2.00,5.00,4.67,2.33,5.00
1,-4.00,1.33,1.83,2.67,1.83,1.00,2.50,1.00,1.50,1.00,2.83,2.00,1.50,2.00,2.50,2.00,2.50,3.00,1.17,3.00,2.17,3.00,1.50,2.17
1,-6.00,4.00,2.25,2.00,4.75,4.50,4.25,2.50,2.25,3.50,3.25,3.00,2.75,1.00,3.75,5.00,3.25,1.50,2.75,2.50,3.75,3.50,1.75,1.25
1,-8.00,2.67,1.00,5.33,3.67,2.00,6.33,4.67,3.00,3.33,5.67,4.00,4.33,2.67,5.00,5.33,3.67,6.00,2.33,4.67,7.00,3.33,1.67,4.33
1,-4.17,1.39,3.00,2.78,1.26,1.83,2.65,2.17,1.17,2.52,1.00,2.09,1.35,2.43,3.00,1.74,2.83,2.35,3.17,1.65,1.17,2.00,1.52,2.91
1,-4.00,2.00,2.50,2.00,2.50,3.00,2.50,3.00,2.50,1.00,2.50,2.00,1.50,2.00,1.50,2.00,2.50,1.00,1.50,3.00,1.50,1.00,1.50,1.50
7,-12.00,8.00,7.50,4.00,3.50,3.00,5.50,11.00,10.50,7.00,6.50,6.00,2.50,2.00,1.50,10.00,9.50,9.00,5.50,5.00,4.50,1.00,6.50,8.50
1,-8.00,2.67,7.00,5.33,1.67,6.00,4.33,6.00,5.00,3.33,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,4.67,1.00,2.00,3.67,6.33
1,-6.00,2.00,4.50,4.00,2.00,3.00,2.50,5.00,1.50,4.00,3.50,3.00,2.50,2.00,4.50,4.00,3.50,3.00,2.50,2.00,1.50,1.00,3.50,4.00
1,-4.80,3.20,1.80,1.60,2.00,3.60,1.60,3.20,2.20,2.00,2.20,2.40,3.80,3.20,2.60,1.60,1.00,1.20,2.60,2.80,3.00,1.60,3.20,2.80
1,-4.80,3.20,3.00,1.60,1.40,2.80,3.00,3.20,3.40,2.80,2.60,2.40,1.00,3.20,1.40,1.60,3.80,2.00,2.20,2.00,1.80,1.60,1.80,3.40
1,-8.00,2.67,7.00,5.33,1.67,6.00,4.33,4.67,5.00,3.33,3.67,4.00,6.33,2.67,3.00,5.33,1.67,2.00,4.33,4.67,1.00,3.33,3.67,6.33
1,-4.80,1.60,1.80,3.20,1.00,2.40,1.40,2.80,3.00,2.00,3.40,2.40,1.40,1.60,1.80,3.20,3.40,2.40,1.40,2.80,3.00,2.00,3.40,3.80
1,-3.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.50,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00
1,-5.33,2.22,4.33,3.11,1.22,3.33,2.11,4.22,3.67,2.44,3.22,2.67,1.44,2.22,1.67,3.11,3.89,2.00,2.11,2.89,1.00,1.11,3.22,4.11
2,-8.00,5.33,5.00,2.67,5.00,2.00,5.00,2.00,7.00,2.00,4.33,4.00,7.00,4.00,1.00,4.00,1.00,6.00,3.67,6.00,3.00,6.00,3.00,3.00
3,-8.00,4.00,3.00,4.00,1.00,6.00,5.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,2.00,5.00,6.00,5.00,6.00,3.00,7.00
3,-8.00,4.00,1.00,4.00,1.00,2.00,5.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,6.00,3.00,7.00
1,-5.33,2.67,3.00,2.67,3.00,3.33,3.00,3.33,1.00,3.33,3.67,2.67,1.00,4.00,4.33,1.33,4.33,2.00,1.67,2.00,2.33,2.00,2.33,2.33
1,-8.00,5.33,7.00,2.67,4.33,6.00,1.67,3.33,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,4.67,6.33,3.67
1,-8.00,5.33,5.00,2.67,5.00,2.00,2.33,2.00,4.33,4.67,7.00,4.00,4.33,4.00,3.67,4.00,3.67,6.00,1.00,3.33,3.00,6.00,5.67,3.00
3,-12.00,8.00,10.50,4.00,6.50,9.00,2.50,5.00,7.50,1.00,3.50,6.00,5.50,2.00,4.50,10.00,6.50,3.00,8.50,11.00,1.50,7.00,9.50,5.50
1,-8.00,5.33,5.00,2.67,2.33,2.00,3.67,3.33,7.00,4.67,4.33,4.00,5.67,1.33,1.00,6.67,2.33,6.00,3.67,3.33,3.00,4.67,4.33,5.67
1,-6.55,2.91,1.91,3.64,2.64,1.64,5.55,4.55,3.55,3.09,2.09,3.27,5.00,4.00,3.00,2.55,1.55,4.91,4.45,3.45,4.64,2.00,1.00,3.91
1,-8.00,2.67,3.00,5.33,3.00,6.00,3.00,6.00,1.00,6.00,3.67,4.00,5.00,4.00,7.00,4.00,3.00,2.00,4.33,2.00,5.00,2.00,5.00,5.00
1,-6.00,4.00,3.75,2.00,1.75,1.50,4.75,3.50,2.25,3.50,3.25,3.00,1.25,1.00,3.75,5.00,4.75,4.50,2.75,2.50,2.25,2.50,1.25,4.25
1,-8.00,4.00,7.00,4.00,5.00,6.00,3.00,6.00,5.00,2.00,5.00,4.00,3.00,4.00,3.00,4.00,5.00,2.00,3.00,6.00,1.00,2.00,5.00,3.00
1,-6.00,4.00,4.50,2.00,2.50,3.00,3.50,1.00,4.50,2.00,2.50,3.00,3.50,4.00,1.50,2.00,2.50,3.00,3.50,4.00,1.50,5.00,2.50,3.50
1,-6.00,2.00,2.25,4.00,1.25,4.50,3.25,3.50,3.75,2.50,4.25,3.00,1.75,5.00,2.25,1.00,4.25,1.50,1.75,3.50,3.75,2.50,2.75,4.75
1,-6.55,3.64,1.91,2.91,5.55,3.82,4.82,3.09,3.55,4.55,5.00,3.27,2.09,2.55,3.00,4.00,4.45,2.73,1.55,2.00,4.64,3.45,1.73,1.00
2,-8.00,2.67,7.00,5.33,1.67,6.00,4.33,2.67,5.00,3.33,3.67,4.00,2.33,2.67,3.00,5.33,5.67,2.00,4.33,4.67,1.00,5.33,3.67,6.33
1,-8.00,2.67,1.00,5.33,3.67,2.00,6.33,4.67,3.00,4.67,5.67,4.00,5.67,6.67,5.00,1.33,2.33,6.00,2.33,3.33,7.00,3.33,1.67,4.33
1,-6.00,4.00,4.00,2.00,4.00,2.00,4.00,2.00,2.00,4.00,5.00,3.00,3.00,3.00,4.00,3.00,3.00,4.00,1.00,2.00,2.00,4.00,2.00,2.00
7,-8.00,5.33,7.00,2.67,7.00,6.00,7.00,6.00,5.00,6.00,5.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,1.00
2,-4.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,3.00,1.00,3.00,3.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00
1,-8.00,5.33,3.67,2.67,1.00,2.00,5.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,4.33,6.00,3.00,7.00
1,-6.00,2.00,2.25,4.00,4.25,4.50,1.25,2.50,3.75,2.50,2.75,3.00,4.75,5.00,2.25,1.00,1.25,1.50,3.25,3.50,3.75,3.50,4.75,1.75
1,-8.00,2.67,1.00,5.33,3.67,2.00,5.33,2.67,3.00,3.33,2.67,4.00,4.33,2.67,5.00,5.33,3.67,6.00,5.33,4.67,7.00,5.33,2.67,4.33
2,-8.00,4.00,1.00,4.00,5.00,2.00,1.00,2.00,3.00,2.00,3.00,4.00,3.00,4.00,5.00,4.00,5.00,6.00,5.00,6.00,7.00,6.00,7.00,3.00
1,-8.00,2.67,5.00,5.33,2.33,2.00,2.33,4.67,7.00,4.67,4.33,4.00,4.33,6.67,1.00,1.33,3.67,6.00,3.67,3.33,3.00,3.33,5.67,5.67
1,-4.36,2.91,3.00,1.45,3.36,1.64,2.64,3.09,1.36,2.36,2.82,2.18,2.82,2.55,3.00,1.82,1.55,2.73,1.55,2.00,1.36,1.27,1.73,1.00
6,-6.00,4.00,3.00,2.00,1.00,1.50,5.00,4.00,3.00,2.00,1.00,3.00,5.00,4.00,3.00,2.00,1.00,4.50,5.00,4.00,3.00,2.00,1.00,5.00
1,-4.00,1.33,1.00,2.67,1.67,2.00,1.00,2.00,3.00,2.00,1.00,2.00,1.67,1.33,1.00,2.67,2.33,2.00,3.00,2.00,3.00,2.00,3.00,2.33
3,-8.00,2.67,7.00,5.33,1.67,6.00,4.33,4.67,5.00,3.33,3.67,4.00,2.33,6.67,3.00,1.33,5.67,2.00,4.33,4.67,1.00,3.33,3.67,6.33
1,-4.00,1.33,1.00,2.67,1.00,2.00,2.33,2.00,3.00,2.00,3.00,2.00,3.00,1.33,1.00,2.67,1.00,2.00,1.00,2.00,3.00,2.00,1.67,3.00
1,-4.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,3.00,1.00
