count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21
1,-6.13,2.67,3.80,1.87,3.00,4.13,3.73,3.33,2.93,1.00,2.13,4.80,1.33,4.00,5.13,3.20,2.80,2.40,2.00,3.13,4.27,2.33,3.47
2,-11.50,4.50,3.25,2.00,6.50,5.25,4.00,8.50,7.25,6.00,10.50,3.50,8.00,1.00,5.50,4.25,3.00,7.50,6.25,5.00,9.50,8.25,7.00
2,-7.67,2.00,4.00,2.17,2.25,2.33,4.33,4.42,4.50,2.67,4.67,6.67,1.00,3.00,5.00,3.17,3.25,3.33,5.33,5.42,5.50,3.67,5.67
22,-23.00,2.00,4.00,6.00,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,1.00,3.00,5.00,7.00,9.00,11.00,13.00,15.00,17.00,19.00,21.00
3,-11.50,9.00,6.50,4.00,1.50,10.50,8.00,5.50,3.00,6.25,9.50,7.00,4.50,2.00,5.25,8.50,6.00,3.50,1.00,10.00,7.50,5.00,2.50
1,-4.31,2.00,1.12,1.69,2.25,2.81,1.94,1.06,1.63,2.19,1.31,3.31,1.00,3.00,2.12,2.69,3.25,2.37,1.50,2.06,2.63,3.19,2.31
1,-7.67,1.67,3.33,5.00,6.67,3.22,2.33,4.00,5.67,2.22,1.33,3.00,4.67,6.33,5.44,2.00,3.67,5.33,4.44,1.00,2.67,4.33,6.00
1,-7.67,2.33,4.67,3.17,1.67,4.00,2.50,1.00,3.33,5.67,4.17,2.67,5.00,3.50,2.00,4.33,6.67,5.17,3.67,6.00,4.50,3.00,5.33
2,-6.27,4.55,2.82,5.27,3.55,1.82,4.27,4.64,3.95,3.27,3.64,4.00,2.27,2.64,3.00,2.32,1.64,2.00,4.45,2.73,1.00,3.45,1.73
1,-7.67,2.67,5.33,4.17,3.00,5.67,4.50,3.33,2.17,1.00,3.67,6.33,1.33,4.00,6.67,5.50,4.33,3.17,2.00,4.67,3.50,2.33,5.00
1,-11.50,9.50,7.50,5.50,3.50,7.25,5.25,3.25,7.00,5.00,3.00,1.00,10.50,8.50,6.50,4.50,8.25,6.25,4.25,8.00,6.00,4.00,2.00
1,-7.67,5.42,3.17,6.67,6.33,4.08,5.67,5.33,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,2.33,2.00,3.58,1.33,1.00,4.50,2.25
1,-7.67,3.33,6.67,2.33,5.67,1.33,4.67,4.17,3.67,3.17,2.67,6.00,1.67,5.00,4.50,4.00,3.50,3.00,6.33,2.00,5.33,1.00,4.33
1,-5.75,1.00,2.00,3.00,1.13,2.13,3.13,4.13,2.25,3.25,4.25,2.38,3.38,1.50,2.50,3.50,1.63,2.63,3.63,4.63,2.75,3.75,4.75
1,-7.67,3.00,6.00,5.17,4.33,3.50,2.67,5.67,1.00,4.00,3.17,2.33,5.33,4.50,3.67,6.67,2.00,5.00,4.17,3.33,2.50,1.67,4.67
1,-7.67,5.44,3.22,1.00,3.89,1.67,2.00,2.33,2.67,3.00,3.33,3.67,4.00,4.33,4.67,5.00,5.33,5.67,6.00,3.78,6.67,4.44,2.22
2,-7.67,5.42,3.17,6.67,6.33,6.00,5.67,5.33,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,2.33,2.00,1.67,1.33,1.00,4.50,2.25
1,-5.31,2.92,2.31,1.69,3.73,4.00,3.38,1.00,2.15,3.31,2.69,3.85,1.46,2.62,2.00,3.15,4.31,1.92,1.31,1.58,3.62,3.00,2.38
1,-7.67,5.08,2.50,5.67,5.00,4.33,3.67,3.00,2.33,1.67,1.00,4.17,3.50,6.67,6.00,5.33,4.67,4.00,3.33,2.67,2.00,5.17,2.58
1,-7.67,1.00,2.00,3.00,4.00,3.08,2.17,3.17,4.17,5.17,6.17,3.33,4.33,1.50,2.50,3.50,4.50,5.50,4.58,3.67,4.67,5.67,6.67
1,-5.75,1.25,2.50,3.75,4.04,3.38,1.75,3.00,2.33,1.67,1.00,2.25,3.50,4.75,4.08,3.42,2.75,4.00,2.38,1.71,2.00,3.25,4.50
1,-5.75,1.50,3.00,4.50,1.21,1.75,3.25,4.75,2.42,2.00,3.50,2.13,3.63,2.25,3.75,3.33,1.00,2.50,4.00,4.54,1.25,2.75,4.25
1,-7.67,5.44,3.22,1.00,1.33,1.67,2.00,2.33,2.67,3.00,3.33,3.67,4.00,4.33,4.67,5.00,5.33,5.67,6.00,6.33,6.67,4.44,2.22
1,-5.59,1.22,2.43,3.65,3.00,3.59,1.70,2.30,3.51,1.00,1.59,2.19,3.41,4.00,4.59,2.08,3.30,3.89,2.00,2.59,1.95,3.16,4.38
1,-11.50,9.50,7.50,5.50,3.50,1.50,5.25,9.00,7.00,5.00,3.00,1.00,10.50,8.50,6.50,4.50,2.50,6.25,10.00,8.00,6.00,4.00,2.00
7,-11.50,7.00,2.50,9.50,5.00,6.25,7.50,3.00,10.00,5.50,1.00,8.00,3.50,10.50,6.00,1.50,8.50,4.00,5.25,6.50,2.00,9.00,4.50
2,-5.75,4.25,2.75,1.25,2.63,1.13,2.50,1.00,2.38,3.75,2.25,3.63,2.13,3.50,2.00,3.38,4.75,3.25,4.63,3.13,4.50,3.00,1.50
1,-5.75,2.50,2.13,4.63,4.25,1.00,3.50,3.13,2.75,2.38,2.00,4.50,1.25,3.75,3.38,3.00,2.63,2.25,4.75,1.50,1.13,3.63,3.25
1,-5.31,2.31,1.08,1.62,2.15,2.69,3.23,2.00,4.31,1.31,1.85,2.38,2.92,3.46,4.00,1.00,3.31,2.08,2.62,3.15,3.69,4.23,3.00
1,-7.67,4.00,4.93,4.33,2.20,4.67,1.00,5.00,4.40,5.33,1.67,5.67,2.00,6.00,2.33,3.27,2.67,6.67,3.00,5.47,3.33,2.73,3.67
1,-5.75,4.54,3.33,2.13,4.75,4.50,4.25,4.00,3.75,3.50,3.25,3.00,2.75,2.50,2.25,2.00,1.75,1.50,1.25,1.00,3.63,2.42,1.21
1,-9.20,1.00,2.00,3.00,4.00,5.00,6.00,2.40,3.40,4.40,5.40,6.40,2.80,3.80,4.80,5.80,6.80,3.20,4.20,5.20,6.20,7.20,8.20
1,-5.75,2.19,1.50,2.25,3.00,3.75,4.50,2.38,4.56,1.00,3.19,2.50,3.25,2.56,4.75,1.19,3.38,1.25,2.00,2.75,3.50,4.25,3.56
1,-7.67,6.67,5.67,4.67,3.67,2.67,1.67,2.58,3.50,2.50,5.33,4.33,3.33,2.33,5.17,4.17,5.08,6.00,5.00,4.00,3.00,2.00,1.00
21,-23.00,18.00,13.00,8.00,3.00,21.00,16.00,11.00,6.00,1.00,19.00,14.00,9.00,4.00,22.00,17.00,12.00,7.00,2.00,20.00,15.00,10.00,5.00
1,-5.75,2.75,2.63,2.50,2.38,2.25,2.13,2.00,4.75,4.63,4.50,1.50,4.25,1.25,1.13,1.00,3.75,3.63,3.50,3.38,3.25,3.13,3.00
2,-7.67,4.50,1.33,2.00,2.67,3.33,4.00,4.67,5.33,6.00,6.67,3.50,4.17,1.00,1.67,2.33,3.00,3.67,4.33,5.00,5.67,6.33,3.17
1,-7.67,3.67,2.22,3.33,4.44,3.00,6.67,2.67,3.78,2.33,6.00,2.00,5.67,1.67,5.33,3.89,5.00,1.00,4.67,3.22,4.33,5.44,4.00
1,-7.67,2.33,4.67,5.08,1.67,4.00,2.50,1.00,3.33,5.67,4.17,2.67,5.00,3.50,2.00,4.33,6.67,5.17,3.67,6.00,2.58,3.00,5.33
1,-7.67,3.00,2.17,5.17,4.33,3.50,2.67,5.67,1.00,4.00,3.17,2.33,5.33,4.50,3.67,6.67,2.00,5.00,4.17,3.33,2.50,5.50,4.67
1,-4.18,2.91,1.64,1.41,1.18,2.00,2.82,1.55,2.36,3.18,1.91,2.73,1.45,2.27,1.00,1.82,2.64,1.36,2.18,3.00,2.77,2.55,1.27
2,-11.50,6.25,1.00,7.25,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,4.25,10.50,5.25
1,-7.67,6.00,4.33,2.67,1.00,4.44,2.78,3.67,2.00,5.44,3.78,4.67,3.00,3.89,2.22,5.67,4.00,4.89,3.22,6.67,5.00,3.33,1.67
2,-11.50,7.50,3.50,5.25,7.00,3.00,10.50,6.50,8.25,4.25,6.00,2.00,9.50,5.50,7.25,3.25,5.00,1.00,8.50,4.50,6.25,8.00,4.00
1,-6.27,4.36,2.45,2.64,4.91,3.00,5.27,3.36,3.55,1.64,3.91,2.00,4.27,2.36,4.64,2.73,2.91,1.00,3.27,1.36,3.64,3.82,1.91
2,-7.67,2.67,5.33,2.25,3.00,5.67,4.50,3.33,6.00,1.00,3.67,6.33,1.33,4.00,6.67,1.67,4.33,3.17,2.00,4.67,5.42,2.33,5.00
2,-11.50,4.50,9.00,2.00,6.50,5.25,4.00,8.50,7.25,6.00,10.50,3.50,8.00,1.00,5.50,4.25,3.00,7.50,6.25,5.00,9.50,2.50,7.00
1,-5.75,1.71,3.42,2.25,3.00,3.75,4.50,3.33,4.08,1.00,1.75,2.50,3.25,4.00,4.75,1.67,2.42,1.25,2.00,2.75,3.50,2.33,4.04
5,-11.50,6.00,6.25,6.50,1.00,7.00,1.50,7.50,2.00,8.00,2.50,8.50,3.00,9.00,3.50,9.50,4.00,10.00,4.50,10.50,5.00,5.25,5.50
1,-7.67,3.67,2.54,3.33,5.08,3.00,6.67,2.67,2.50,2.33,4.08,2.00,5.67,3.58,5.33,5.17,5.00,1.00,4.67,2.58,4.33,5.12,4.00
1,-6.39,2.39,2.22,3.33,4.44,3.00,5.39,1.39,2.50,3.61,4.72,2.00,4.39,1.67,2.78,3.89,5.00,1.00,3.39,1.94,3.06,4.17,4.00
1,-7.67,5.78,3.89,2.00,2.67,3.33,4.00,4.67,2.78,6.00,6.67,4.78,2.89,1.00,1.67,4.89,3.00,3.67,4.33,5.00,5.67,3.78,1.89
4,-11.50,6.25,1.00,1.50,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,5.25
1,-4.60,2.00,2.16,1.40,3.40,1.72,2.80,2.96,2.20,1.44,3.44,3.60,1.00,1.16,3.16,2.40,1.64,1.80,2.88,1.20,3.20,2.44,2.60
1,-7.67,4.50,5.17,2.00,2.67,3.33,4.00,4.67,1.50,6.00,6.67,3.50,4.17,1.00,1.67,6.17,3.00,3.67,4.33,5.00,5.67,2.50,3.17
1,-4.76,1.76,3.52,2.90,2.28,1.66,1.03,2.00,3.76,1.55,3.31,2.69,2.07,1.45,3.21,1.00,2.76,3.72,3.10,2.48,1.86,1.24,3.00
1,-3.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00
3,-7.67,5.00,2.33,3.50,4.67,2.00,3.17,4.33,5.50,6.67,4.00,5.17,2.50,3.67,1.00,2.17,3.33,4.50,5.67,3.00,4.17,5.33,2.67
24,-23.00,6.00,12.00,18.00,1.00,7.00,13.00,19.00,2.00,8.00,14.00,20.00,3.00,9.00,15.00,21.00,4.00,10.00,16.00,22.00,5.00,11.00,17.00
1,-4.60,1.80,3.60,1.37,2.60,3.25,2.75,3.40,2.90,2.40,1.90,1.40,3.20,2.70,2.20,1.70,1.20,1.85,1.35,2.00,3.22,1.00,2.80
2,-7.67,3.67,5.42,3.33,3.17,3.00,6.67,2.67,6.33,2.33,6.00,2.00,5.67,1.67,5.33,1.33,5.00,1.00,4.67,4.50,4.33,2.25,4.00
1,-4.31,2.12,1.37,2.06,2.75,2.00,1.25,1.94,1.19,3.31,1.12,3.25,1.06,3.19,1.00,3.12,2.37,3.06,2.31,1.56,2.25,2.94,2.19
1,-11.50,8.00,4.50,1.00,3.25,5.50,2.00,4.25,6.50,3.00,5.25,7.50,4.00,6.25,8.50,5.00,7.25,9.50,6.00,8.25,10.50,7.00,3.50
2,-7.67,5.33,3.00,4.50,2.17,3.67,5.17,6.67,4.33,2.00,3.50,5.00,2.67,4.17,5.67,3.33,1.00,2.50,4.00,5.50,3.17,4.67,2.33
1,-7.67,4.00,2.89,4.33,5.78,4.67,1.00,5.00,3.89,5.33,1.67,5.67,2.00,6.00,2.33,3.78,2.67,6.67,3.00,1.89,3.33,4.78,3.67
21,-23.00,10.00,20.00,7.00,17.00,4.00,14.00,1.00,11.00,21.00,8.00,18.00,5.00,15.00,2.00,12.00,22.00,9.00,19.00,6.00,16.00,3.00,13.00
8,-11.50,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,5.25,6.25,1.50,2.50,3.50,4.50,5.50,6.50,7.50,8.50,9.50,10.50
4,-11.50,3.50,7.00,10.50,2.50,6.00,9.50,1.50,5.00,8.50,6.25,4.00,7.50,5.25,3.00,6.50,10.00,2.00,5.50,9.00,1.00,4.50,8.00
1,-5.31,2.85,2.15,3.23,4.31,3.62,1.15,4.00,3.31,2.62,1.92,3.00,2.31,3.38,2.69,2.00,1.31,4.15,1.69,1.00,2.08,3.15,2.46
5,-11.50,4.50,9.00,2.00,6.50,5.25,4.00,8.50,1.50,6.00,10.50,3.50,8.00,1.00,5.50,10.00,3.00,7.50,6.25,5.00,9.50,2.50,7.00
1,-7.67,4.67,5.50,6.33,3.33,4.17,5.00,2.00,6.67,3.67,4.50,5.33,2.33,3.17,4.00,1.00,5.67,2.67,3.50,4.33,1.33,2.17,3.00
1,-5.31,3.62,1.92,2.00,3.85,2.15,4.00,2.31,4.15,2.46,4.31,2.62,2.69,1.00,2.85,1.15,3.00,1.31,3.15,1.46,3.31,3.38,1.69
3,-5.75,1.25,2.50,3.75,3.56,3.38,1.75,3.00,4.25,1.19,1.00,2.25,3.50,4.75,4.56,1.50,2.75,4.00,2.38,2.19,2.00,3.25,4.50
1,-7.67,6.67,5.67,4.67,3.67,2.67,5.50,4.50,3.50,2.50,5.33,4.33,3.33,2.33,5.17,4.17,3.17,2.17,5.00,4.00,3.00,2.00,1.00
1,-7.67,3.17,2.50,5.67,5.00,4.33,3.67,3.00,6.17,1.67,1.00,4.17,3.50,6.67,6.00,1.50,4.67,4.00,3.33,2.67,2.00,5.17,4.50
1,-5.11,4.11,3.11,2.11,1.11,2.67,1.67,3.22,2.22,3.78,2.78,1.78,3.33,2.33,1.33,2.89,1.89,3.44,2.44,4.00,3.00,2.00,1.00
1,-7.67,3.67,3.50,3.33,3.17,3.00,6.67,2.67,2.50,2.33,6.00,2.00,5.67,1.67,5.33,5.17,5.00,1.00,4.67,4.50,4.33,4.17,4.00
1,-6.57,1.00,2.00,3.00,4.00,5.00,2.71,3.71,4.71,2.43,3.43,2.79,3.79,3.14,4.14,1.86,2.86,3.86,1.57,2.57,3.57,4.57,5.57
1,-6.57,2.86,2.43,2.00,4.86,4.43,4.00,3.57,3.14,2.71,5.57,5.14,1.43,1.00,3.86,3.43,3.00,2.57,2.14,1.71,4.57,4.14,3.71
1,-6.27,1.82,3.64,3.36,1.00,2.82,4.64,4.36,2.00,3.82,1.45,3.27,3.00,4.82,2.45,4.27,1.91,1.64,3.45,5.27,2.91,2.64,4.45
1,-5.75,3.38,1.00,1.50,2.00,2.50,3.00,3.50,4.00,4.50,2.13,2.63,3.13,3.63,1.25,1.75,2.25,2.75,3.25,3.75,4.25,4.75,2.38
1,-4.18,2.27,1.41,2.64,2.82,3.00,3.18,1.27,1.45,1.64,1.82,2.00,2.18,2.36,2.55,2.73,2.91,1.00,1.18,1.36,1.55,2.77,1.91
1,-7.67,3.67,5.42,3.33,3.17,3.00,6.67,2.67,6.33,2.33,4.08,2.00,5.67,3.58,5.33,1.33,5.00,1.00,4.67,4.50,4.33,2.25,4.00
2,-7.67,2.22,4.44,6.67,6.33,6.00,5.67,5.33,5.00,4.67,4.33,4.00,3.67,3.33,3.00,2.67,2.33,2.00,1.67,1.33,1.00,3.22,5.44
28,-23.00,19.00,15.00,11.00,7.00,3.00,22.00,18.00,14.00,10.00,6.00,2.00,21.00,17.00,13.00,9.00,5.00,1.00,20.00,16.00,12.00,8.00,4.00
1,-3.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00
1,-7.67,4.33,1.00,5.33,2.00,3.27,3.00,2.73,4.00,2.20,5.00,1.67,6.00,2.67,5.47,3.67,4.93,4.67,4.40,5.67,2.33,6.67,3.33
1,-3.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00
1,-5.31,2.00,2.23,4.23,2.69,1.15,3.15,1.62,1.85,2.08,2.31,4.31,1.00,3.00,3.23,3.46,3.69,2.15,4.15,2.62,1.08,3.08,3.31
1,-7.67,6.00,4.33,2.67,1.00,3.17,5.33,3.67,2.00,4.17,6.33,4.67,3.00,1.33,3.50,5.67,4.00,2.33,4.50,6.67,5.00,3.33,1.67
2,-11.50,3.50,7.00,10.50,8.25,6.00,9.50,7.25,5.00,8.50,6.25,4.00,7.50,5.25,3.00,6.50,4.25,2.00,5.50,3.25,1.00,4.50,8.00
5,-11.50,8.00,4.50,1.00,9.00,5.50,2.00,10.00,6.50,3.00,5.25,7.50,4.00,6.25,8.50,5.00,1.50,9.50,6.00,2.50,10.50,7.00,3.50
1,-6.57,3.43,3.57,3.71,3.86,4.00,4.14,1.00,2.79,4.57,1.43,4.86,1.71,5.14,2.00,3.79,5.57,2.43,2.57,2.71,2.86,3.00,3.14
1,-7.67,2.33,4.67,4.44,4.22,4.00,2.50,1.00,3.33,5.67,5.44,2.67,5.00,2.22,2.00,4.33,6.67,5.17,3.67,3.44,3.22,3.00,5.33
14,-23.00,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00
1,-7.67,1.67,3.33,5.00,6.67,4.50,6.17,4.00,5.67,3.50,5.17,3.00,4.67,2.50,4.17,2.00,3.67,1.50,3.17,1.00,2.67,4.33,6.00
1,-3.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00
1,-5.75,2.75,4.54,2.50,3.33,2.25,2.13,2.00,4.75,2.71,4.50,1.50,4.25,1.25,3.04,1.00,3.75,3.63,3.50,2.42,3.25,1.21,3.00
1,-6.57,2.00,4.00,4.36,4.71,3.43,2.14,2.50,2.86,1.57,3.57,5.57,1.00,3.00,5.00,3.71,4.07,4.43,3.14,1.86,2.21,2.57,4.57
2,-11.50,7.25,3.00,4.50,6.00,7.50,9.00,10.50,6.25,2.00,3.50,5.00,6.50,8.00,9.50,5.25,1.00,2.50,4.00,5.50,7.00,8.50,4.25
1,-5.75,1.00,2.00,3.00,4.00,2.13,1.69,1.25,2.25,3.25,4.25,2.38,3.38,1.50,2.50,3.50,4.50,4.06,3.63,1.75,2.75,3.75,4.75
1,-7.67,2.00,4.00,6.00,4.17,2.33,4.33,6.33,4.50,2.67,4.67,6.67,1.00,3.00,5.00,3.17,1.33,3.33,5.33,3.50,1.67,3.67,5.67
1,-6.57,2.71,2.14,4.86,1.00,3.71,3.14,2.57,2.00,1.43,4.14,3.57,3.00,2.43,5.14,4.57,4.00,3.43,2.86,5.57,1.71,4.43,3.86
1,-5.75,4.75,3.75,2.75,4.63,3.63,2.63,1.63,3.50,2.50,4.38,3.38,2.38,1.38,3.25,2.25,4.13,3.13,2.13,1.13,3.00,2.00,1.00
2,-11.50,2.00,4.00,6.00,8.00,4.25,6.25,8.25,4.50,6.50,8.50,10.50,1.00,3.00,5.00,7.00,3.25,5.25,7.25,3.50,5.50,7.50,9.50
1,-3.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00
1,-4.93,2.50,1.71,1.75,3.43,1.00,3.50,1.07,1.93,2.79,2.00,2.86,2.07,2.93,2.14,3.00,3.86,1.43,3.93,1.50,3.18,3.21,2.43
2,-11.50,6.25,1.00,7.25,2.00,8.25,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,3.25,9.50,4.25,10.50,5.25
3,-11.50,3.50,7.00,10.50,2.50,6.00,9.50,7.25,5.00,8.50,6.25,4.00,7.50,5.25,3.00,6.50,4.25,2.00,5.50,9.00,1.00,4.50,8.00
2,-7.67,5.00,2.33,5.42,4.67,2.00,3.17,4.33,1.67,6.67,4.00,1.33,6.33,3.67,1.00,6.00,3.33,4.50,5.67,3.00,2.25,5.33,2.67
1,-9.20,4.00,3.40,2.80,6.80,6.20,1.00,5.00,4.40,3.80,3.20,7.20,2.00,6.00,5.40,4.80,4.20,8.20,3.00,2.40,6.40,5.80,5.20
1,-4.60,2.55,2.80,3.05,1.00,2.40,1.50,2.90,2.00,3.40,1.35,1.60,3.00,3.25,1.20,2.60,1.70,3.10,2.20,3.60,1.55,1.80,2.05
2,-11.50,9.50,7.50,5.50,3.50,7.25,5.25,9.00,7.00,5.00,3.00,1.00,10.50,8.50,6.50,4.50,2.50,6.25,4.25,8.00,6.00,4.00,2.00
1,-4.76,1.66,3.31,1.00,1.86,1.14,2.00,2.07,1.34,3.00,2.28,1.55,3.21,2.48,1.76,3.41,2.69,2.76,3.62,2.90,3.76,1.45,3.10
1,-3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00
1,-11.50,3.25,6.50,4.00,7.25,10.50,8.00,5.50,3.00,6.25,9.50,7.00,4.50,2.00,5.25,8.50,6.00,3.50,1.00,4.25,7.50,5.00,8.25
10,-11.50,5.00,10.00,3.50,8.50,2.00,7.00,6.25,5.50,10.50,4.00,9.00,2.50,7.50,1.00,6.00,5.25,4.50,9.50,3.00,8.00,1.50,6.50
1,-5.75,4.75,3.75,2.75,1.75,3.63,2.63,4.50,3.50,2.50,4.38,3.38,2.38,1.38,3.25,2.25,1.25,3.13,2.13,4.00,3.00,2.00,1.00
1,-3.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00
1,-7.67,5.67,3.67,1.67,2.73,5.33,3.33,4.40,5.47,5.00,3.00,1.00,6.67,4.67,2.67,2.20,3.27,4.33,2.33,4.93,6.00,4.00,2.00
