count,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18,a_19,a_20,a_21,a_22,a_23,a_24,a_25,a_26,a_27,a_28
1,-6.00,4.80,3.00,2.00,5.00,3.80,4.80,4.00,3.60,2.40,2.60,1.00,3.80,2.80,3.60,2.80,2.40,1.20,1.60,2.60,4.40,3.40,1.20,3.20,4.40,1.60,3.20,2.20,3.40,2.20
1,-5.00,4.00,2.50,2.29,2.29,3.17,4.00,2.71,3.00,2.00,3.42,2.71,3.17,2.33,3.00,1.71,2.00,1.00,1.33,3.42,3.67,1.58,1.00,2.67,2.42,2.58,3.29,1.83,1.58,1.83
1,-5.00,2.00,2.50,2.50,2.50,2.00,2.00,2.50,4.00,1.00,1.50,2.50,2.00,2.00,4.00,2.00,1.00,3.00,4.00,1.50,1.00,3.50,3.00,3.00,1.00,4.00,3.00,3.00,3.50,3.00
1,-10.00,4.00,5.00,6.67,1.67,5.67,9.00,3.33,8.00,2.00,4.67,8.33,5.67,7.33,3.00,7.33,7.00,6.00,6.33,4.67,3.67,5.33,1.00,2.67,3.67,6.33,2.67,4.33,5.33,4.33
1,-15.00,6.00,7.50,10.00,10.00,1.00,6.00,5.00,12.00,3.00,7.00,5.00,8.50,11.00,12.00,11.00,3.00,9.00,2.00,7.00,13.00,8.00,9.00,4.00,5.50,9.50,4.00,14.00,8.00,6.50
1,-4.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,3.00,3.00,2.00,2.00,1.00
1,-15.00,4.50,7.50,5.00,5.00,2.00,12.00,10.00,9.00,6.00,6.50,10.00,9.50,7.00,9.00,7.00,6.00,10.50,4.00,14.00,11.00,8.50,3.00,8.00,3.50,11.50,8.00,13.00,1.00,5.50
1,-3.00,2.00,1.50,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00
1,-7.50,6.00,3.75,5.00,5.00,5.00,3.00,2.50,4.50,3.00,3.50,2.50,6.50,4.00,3.00,5.50,4.50,1.50,5.50,5.00,2.00,4.00,4.50,3.50,3.50,4.00,2.00,2.50,2.50,1.00
1,-7.50,1.50,3.75,2.50,2.50,4.00,1.50,5.00,3.00,4.50,5.50,5.00,4.00,6.50,3.00,6.50,4.50,6.00,4.25,5.50,3.25,2.00,6.00,1.00,3.25,4.25,1.00,3.50,2.00,3.50
1,-10.00,3.00,5.00,5.00,5.00,8.00,3.00,5.00,6.00,4.00,6.00,5.00,3.00,8.00,6.00,8.00,4.00,7.00,6.00,6.00,4.00,4.00,7.00,2.00,9.00,1.00,2.00,2.00,4.00,7.00
1,-6.00,2.40,3.00,2.00,5.00,2.40,2.40,4.00,4.80,1.20,4.80,1.00,2.40,2.40,4.80,2.40,1.20,3.60,4.80,4.80,1.20,1.20,3.60,3.60,1.20,4.80,3.60,3.60,1.20,3.60
1,-6.00,3.60,3.00,4.00,1.00,3.60,3.60,2.00,1.20,4.80,4.20,5.00,4.60,3.60,4.20,2.60,1.80,2.40,3.20,2.20,2.80,1.80,2.40,2.40,1.80,4.20,3.40,2.40,3.80,1.40
2,-15.00,9.00,7.50,10.00,2.50,4.00,1.50,5.00,3.00,12.00,13.00,12.50,11.50,14.00,10.50,6.50,4.50,6.00,8.00,5.50,7.00,2.00,13.50,1.00,7.00,8.00,8.50,11.00,9.50,3.50
1,-10.00,4.00,5.00,5.00,5.00,4.00,9.00,5.00,8.00,2.00,8.00,5.00,4.00,4.00,3.00,4.00,7.00,6.00,8.00,3.00,2.00,2.00,1.00,6.00,7.00,3.00,6.00,6.00,7.00,6.00
1,-5.00,3.00,2.50,2.50,3.75,3.00,3.00,2.50,1.00,4.00,1.00,1.25,3.00,3.00,2.25,3.00,2.75,2.00,3.50,3.50,1.50,4.00,2.00,2.00,4.00,1.00,2.00,2.00,1.50,2.00
1,-7.50,3.00,3.75,5.00,1.25,4.25,3.00,2.50,2.25,5.25,3.50,6.25,4.25,5.50,2.25,5.50,5.25,4.50,1.00,3.50,6.50,4.00,4.50,2.00,2.75,4.75,2.00,3.25,4.00,3.25
1,-6.00,3.00,3.00,4.00,2.50,4.00,3.00,2.00,4.50,1.50,4.00,3.50,1.00,2.00,3.00,5.00,3.00,3.00,2.00,1.00,4.00,2.00,3.00,4.00,4.00,2.00,1.00,2.00,5.00,5.00
1,-10.00,2.00,5.00,3.33,8.33,5.33,7.00,6.67,4.00,6.00,7.33,1.67,2.83,8.67,9.00,3.67,1.00,8.00,5.67,2.33,4.33,2.67,3.00,1.33,4.33,5.67,6.33,4.67,7.67,7.17
1,-15.00,9.00,7.50,10.00,10.00,4.00,9.00,5.00,10.50,4.50,13.00,5.00,4.00,6.50,3.00,14.00,12.00,6.00,8.00,5.50,7.00,2.00,6.00,8.50,7.00,8.00,1.00,11.00,9.50,11.00
1,-15.00,12.00,7.50,10.00,10.00,7.00,12.00,5.00,9.00,6.00,4.00,5.00,7.00,2.00,9.00,9.50,6.00,3.00,6.50,4.00,8.50,11.00,3.00,13.00,1.00,14.00,5.50,8.00,11.00,8.00
1,-6.43,3.43,3.21,2.14,5.36,4.86,3.43,4.29,4.71,1.71,4.00,1.07,2.36,2.00,2.21,3.79,4.21,3.00,3.29,4.00,3.14,2.43,3.00,4.43,1.00,5.43,2.64,1.57,2.43,4.07
1,-5.71,2.00,2.86,2.38,1.67,4.38,2.71,3.33,1.86,3.86,3.52,4.05,2.24,2.48,4.71,1.76,1.00,3.71,4.48,3.52,1.24,2.19,3.00,3.24,3.38,2.33,3.95,1.33,2.19,3.48
1,-5.00,4.00,2.50,3.33,2.33,2.33,1.50,1.67,3.00,2.00,3.33,2.67,3.33,1.67,1.00,1.67,4.00,1.00,1.67,2.33,3.33,1.67,3.50,3.33,3.33,1.67,3.33,2.67,2.67,1.67
3,-6.00,2.40,3.00,4.00,1.00,2.40,2.40,2.00,4.80,1.20,4.80,5.00,2.40,2.40,4.80,2.40,1.20,3.60,4.80,4.80,1.20,1.20,3.60,3.60,1.20,4.80,3.60,3.60,1.20,3.60
1,-7.50,6.00,3.75,5.00,5.00,3.50,4.13,2.50,4.50,3.00,2.00,2.50,3.50,4.75,4.50,1.00,3.00,1.50,5.13,2.00,2.38,5.50,3.38,2.75,6.13,1.38,6.50,4.00,5.50,4.00
1,-10.00,6.00,5.00,5.00,5.00,6.00,6.00,5.00,2.00,8.00,7.00,5.00,1.00,6.00,7.00,6.00,3.00,4.00,2.00,2.00,8.00,3.00,4.00,4.00,3.00,7.00,4.00,4.00,8.00,9.00
1,-7.50,1.50,3.75,2.50,2.50,4.00,3.38,5.00,3.00,4.50,5.50,5.00,4.00,6.50,4.88,2.75,2.63,6.00,2.38,1.75,5.13,2.00,4.13,1.00,3.25,4.25,4.75,3.50,5.75,3.50
4,-15.00,12.00,7.50,5.00,5.00,2.00,12.00,10.00,9.00,6.00,14.00,10.00,2.00,7.00,9.00,7.00,6.00,3.00,4.00,6.50,11.00,1.00,3.00,8.00,11.00,4.00,8.00,13.00,8.50,13.00
1,-6.18,3.00,3.09,2.06,3.82,4.18,3.00,4.12,1.59,4.59,3.65,2.35,4.18,1.82,4.24,3.59,1.94,3.18,2.18,1.00,4.00,2.53,3.18,4.35,4.00,2.18,2.59,2.00,5.18,2.00
1,-4.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,3.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,1.00,3.00,2.00,3.00,3.00
1,-5.00,2.00,2.50,3.33,2.50,2.00,3.67,1.67,4.00,1.00,2.33,2.50,3.67,2.83,1.50,2.00,3.50,3.00,3.58,1.50,1.42,2.67,1.33,2.17,3.50,1.50,3.00,3.00,3.50,1.33
1,-6.00,3.20,3.00,2.00,5.00,1.20,1.20,4.00,2.40,3.60,2.40,1.00,2.20,1.20,2.40,4.20,3.60,2.80,2.40,2.40,3.60,3.60,4.80,4.80,3.60,2.40,1.80,4.80,3.60,3.80
5,-15.00,3.00,7.50,5.00,12.50,8.00,10.50,10.00,6.00,9.00,11.00,2.50,8.00,13.00,13.50,5.50,1.50,12.00,1.00,3.50,14.00,4.00,4.50,2.00,6.50,8.50,9.50,7.00,11.50,7.00
1,-7.50,4.50,3.75,4.38,2.50,5.13,4.50,3.13,1.50,6.00,4.00,5.00,1.38,2.00,3.38,2.00,4.13,3.00,2.75,4.00,4.75,3.50,3.00,5.50,1.00,6.50,5.50,2.38,3.50,6.13
1,-6.18,1.59,3.09,4.12,4.12,2.18,4.24,2.06,2.29,3.88,2.00,2.06,2.18,2.76,3.18,1.00,3.00,4.59,4.35,3.76,1.82,4.18,1.94,3.41,4.47,1.71,5.18,4.00,2.41,4.00
1,-6.00,2.40,3.00,4.00,1.00,4.00,4.20,2.00,2.40,3.60,4.00,5.00,2.20,3.20,3.00,5.00,3.00,3.60,4.40,3.40,1.60,2.00,1.80,2.80,4.60,1.40,1.00,2.00,2.60,3.80
1,-5.00,3.00,2.50,3.33,1.33,3.33,3.00,1.67,1.00,4.00,2.33,3.67,3.33,1.67,3.00,2.67,2.00,2.00,1.67,1.33,3.33,2.67,2.00,3.33,1.33,3.67,2.33,1.67,3.67,1.67
1,-6.00,1.20,3.00,2.00,5.00,2.00,3.00,4.00,2.40,3.60,2.00,1.00,5.00,4.00,3.00,1.00,3.00,4.80,4.00,2.60,2.00,4.00,3.00,2.00,3.80,2.20,5.00,4.00,3.40,1.00
